# INITIALIZATION
Counter({'TP': 13393, 'TN': 3076, 'FN': 1822, 'FP': 1709})
# Initial Accuracy: 0.82345
# Initial MCC: 0.518953419845
# Minimal variation in Mu: -1.89158212109e-05
# Min in Mu: [-2.44411991e-06]
# Min variation in initial S: 8.69582184038e-14
gen	nevals	avg     	std     	min     	max     
0  	100   	0.491284	0.029029	0.415696	0.533367
1  	32    	0.514403	0.0138206	0.463745	0.533367
2  	37    	0.524504	0.00614906	0.504605	0.533367
3  	33    	0.52837 	0.00317443	0.517538	0.533367
4  	39    	0.531406	0.0023175 	0.525258	0.536507
5  	31    	0.533557	0.00200809	0.530472	0.538111
6  	35    	0.535177	0.00165209	0.53076 	0.538111
7  	34    	0.536838	0.00109324	0.533367	0.539052
8  	33    	0.537685	0.00094176	0.536507	0.539266
9  	38    	0.538533	0.000726035	0.536507	0.541013
10 	35    	0.539179	0.000740233	0.537682	0.541196
11 	33    	0.539846	0.000787448	0.538491	0.541196
12 	35    	0.540475	0.000698222	0.539052	0.542414
13 	36    	0.54095 	0.00050753 	0.539996	0.542414
14 	40    	0.541297	0.000365732	0.540679	0.542414
15 	34    	0.541511	0.000485215	0.541192	0.542414
16 	35    	0.541892	0.000546148	0.541196	0.542414
17 	38    	0.542307	0.000322292	0.541365	0.542582
18 	28    	0.542434	5.48195e-05	0.542414	0.542582
19 	31    	0.54249 	0.00011737 	0.542414	0.542874
20 	38    	0.542605	0.000132646	0.542414	0.542874
21 	30    	0.542713	0.000151889	0.542414	0.543044
22 	35    	0.542911	0.000207167	0.542582	0.543741
23 	31    	0.543019	0.000229665	0.54279 	0.543741
24 	31    	0.543176	0.000300462	0.542894	0.543954
25 	40    	0.543418	0.000330968	0.542961	0.544007
26 	38    	0.543708	0.000224944	0.543044	0.544053
27 	38    	0.543882	0.000163495	0.54339 	0.544446
28 	41    	0.543995	0.00015922 	0.543741	0.544527
29 	35    	0.544215	0.000245355	0.543785	0.544884
30 	33    	0.544462	0.000293309	0.544007	0.545352
31 	35    	0.544635	0.000284428	0.544105	0.545352
32 	37    	0.544911	0.000330134	0.544446	0.545749
33 	33    	0.545132	0.000301281	0.544527	0.545749
34 	36    	0.545337	0.000248367	0.544527	0.545749
35 	36    	0.545546	0.000218525	0.544884	0.545866
36 	28    	0.545728	0.000191203	0.545352	0.546401
37 	38    	0.545881	0.000205375	0.545411	0.546401
38 	35    	0.545994	0.000247019	0.545263	0.546401
39 	38    	0.546257	0.000459975	0.545794	0.547943
40 	38    	0.546569	0.000511187	0.545866	0.547943
41 	40    	0.546933	0.000598872	0.546401	0.548271
42 	39    	0.547378	0.00055905 	0.546401	0.548542
43 	34    	0.547733	0.000387682	0.546626	0.549116
44 	41    	0.548106	0.000382467	0.54763 	0.549116
45 	38    	0.54845 	0.00042156 	0.54763 	0.549116
46 	39    	0.548781	0.000330063	0.54763 	0.549116
47 	33    	0.54902 	0.000308615	0.546479	0.549116
48 	34    	0.549112	3.78977e-05	0.548735	0.549116
49 	36    	0.549139	0.000227992	0.549116	0.551407
50 	41    	0.549116	1.11022e-16	0.549116	0.549116
51 	35    	0.549119	1.57107e-05	0.549116	0.549208
52 	40    	0.54913 	5.70609e-05	0.549116	0.549494
53 	33    	0.549174	0.000119453	0.549116	0.549745
54 	37    	0.549352	0.000238741	0.549116	0.549994
55 	33    	0.549472	0.000230871	0.549208	0.549994
56 	31    	0.54968 	0.00023221 	0.549208	0.550222
57 	31    	0.549883	0.000253175	0.549208	0.550874
58 	31    	0.550103	0.000297213	0.549577	0.550874
59 	35    	0.550285	0.000291005	0.549831	0.550874
60 	38    	0.550453	0.000295991	0.549852	0.551042
61 	33    	0.550696	0.000255641	0.550222	0.551042
62 	36    	0.550889	0.00013991 	0.550406	0.551042
63 	38    	0.550978	7.44066e-05	0.550874	0.551117
64 	33    	0.551035	8.6048e-05 	0.550874	0.551508
65 	37    	0.551063	8.59024e-05	0.550941	0.551508
66 	32    	0.551094	0.000107338	0.551042	0.551508
67 	34    	0.551126	0.000106212	0.551042	0.551508
68 	35    	0.551207	0.000125195	0.551042	0.551508
69 	29    	0.551289	0.00014677 	0.551042	0.551508
70 	33    	0.551564	0.000447972	0.551164	0.553016
71 	31    	0.551887	0.000534285	0.551229	0.553016
72 	35    	0.5523  	0.000524522	0.551508	0.553016
73 	33    	0.55267 	0.000300903	0.551508	0.553151
74 	36    	0.552882	0.00017734 	0.552519	0.553535
75 	32    	0.553073	0.000300596	0.552704	0.554522
76 	38    	0.553178	0.000359572	0.552877	0.554522
77 	41    	0.553434	0.000527802	0.553016	0.554522
78 	38    	0.553819	0.000536401	0.553016	0.555216
79 	39    	0.554198	0.000471254	0.553016	0.555219
80 	39    	0.554551	0.000336987	0.553629	0.555219
81 	35    	0.554733	0.000316319	0.55396 	0.555254
82 	41    	0.554993	0.000283543	0.554522	0.555255
83 	28    	0.555218	8.776e-05  	0.5548  	0.555571
84 	37    	0.555264	8.58228e-05	0.555216	0.555571
85 	31    	0.555341	0.00015437 	0.555216	0.556012
86 	39    	0.555469	0.00020827 	0.555254	0.556012
87 	32    	0.555639	0.000210626	0.555255	0.556012
88 	35    	0.555795	0.000196045	0.555571	0.556012
89 	33    	0.555969	0.000114412	0.555665	0.556168
90 	36    	0.556032	7.52075e-05	0.555665	0.556168
91 	38    	0.556073	7.63385e-05	0.556012	0.556201
92 	36    	0.556139	6.67994e-05	0.556012	0.556201
93 	37    	0.556178	1.51761e-05	0.556168	0.556201
94 	36    	0.556233	0.000190882	0.556168	0.557158
95 	36    	0.556288	0.000260647	0.556168	0.557158
96 	36    	0.55645 	0.00039405 	0.556201	0.557158
97 	33    	0.556757	0.00042336 	0.556201	0.557158
98 	31    	0.557057	0.000245104	0.556201	0.557327
99 	39    	0.557175	5.04782e-05	0.557158	0.557327
100	28    	0.557207	7.63503e-05	0.557158	0.557327
101	31    	0.557267	8.76303e-05	0.557158	0.5576  
102	34    	0.557336	8.27337e-05	0.557158	0.5576  
103	24    	0.557362	9.19054e-05	0.557327	0.5576  
104	33    	0.557375	0.000420598	0.553386	0.5576  
105	36    	0.557529	0.00011987 	0.557327	0.5576  
106	37    	0.557594	3.82594e-05	0.557327	0.5576  
107	36    	0.557602	1.67383e-05	0.5576  	0.557768
108	31    	0.557602	1.67383e-05	0.5576  	0.557768
109	39    	0.557601	3.57944e-06	0.5576  	0.557621
110	34    	0.557601	5.35376e-06	0.5576  	0.557621
111	41    	0.557603	7.28085e-06	0.5576  	0.557621
112	36    	0.557606	9.52131e-06	0.5576  	0.557621
113	32    	0.557626	5.21484e-05	0.5576  	0.557789
114	33    	0.557661	7.44552e-05	0.5576  	0.557789
115	36    	0.5577  	8.41854e-05	0.5576  	0.557789
116	32    	0.557772	5.04682e-05	0.557621	0.557789
117	36    	0.557786	2.35518e-05	0.557621	0.557789
118	36    	0.557789	0          	0.557789	0.557789
119	38    	0.557789	0          	0.557789	0.557789
120	34    	0.557789	0          	0.557789	0.557789
121	35    	0.557788	1.4642e-05 	0.557642	0.557789
122	40    	0.557789	0          	0.557789	0.557789
123	37    	0.557789	0          	0.557789	0.557789
124	35    	0.557789	0          	0.557789	0.557789
125	26    	0.557789	0          	0.557789	0.557789
126	30    	0.557789	0          	0.557789	0.557789
127	30    	0.55779 	7.37314e-06	0.557789	0.557842
128	32    	0.557793	1.42877e-05	0.557789	0.557842
129	39    	0.557799	2.02333e-05	0.557789	0.557842
130	42    	0.557817	2.62852e-05	0.557789	0.557842
131	36    	0.557835	1.77115e-05	0.557789	0.557842
132	34    	0.557842	2.22045e-16	0.557842	0.557842
133	38    	0.557842	2.22045e-16	0.557842	0.557842
134	38    	0.557842	5.25906e-06	0.557842	0.557895
135	36    	0.557842	5.25906e-06	0.557842	0.557895
136	44    	0.557843	9.01648e-06	0.557842	0.557895
137	38    	0.557846	1.54952e-05	0.557842	0.557936
138	35    	0.557857	2.47423e-05	0.557842	0.557936
139	36    	0.557878	2.62867e-05	0.557842	0.557936
140	40    	0.557892	2.05114e-05	0.557842	0.557936
141	38    	0.557903	2.16207e-05	0.557842	0.557989
142	37    	0.557916	2.97301e-05	0.557895	0.557989
143	33    	0.55794 	3.26072e-05	0.557895	0.557989
144	34    	0.55797 	2.80051e-05	0.557936	0.558052
145	35    	0.557997	2.60762e-05	0.557936	0.558052
146	37    	0.558011	2.99668e-05	0.557989	0.558052
147	29    	0.558032	2.93075e-05	0.557989	0.558052
148	30    	0.558051	8.79584e-06	0.557989	0.558052
149	36    	0.558052	0          	0.558052	0.558052
150	37    	0.558052	0          	0.558052	0.558052
151	35    	0.558052	0          	0.558052	0.558052
152	42    	0.558052	0          	0.558052	0.558052
153	39    	0.558052	0          	0.558052	0.558052
154	36    	0.558052	0          	0.558052	0.558052
155	35    	0.558052	0          	0.558052	0.558052
156	38    	0.558052	0          	0.558052	0.558052
157	35    	0.558052	0          	0.558052	0.558052
158	37    	0.558053	4.43671e-06	0.558052	0.558084
159	35    	0.558054	8.08582e-06	0.558052	0.558084
160	25    	0.558059	1.33365e-05	0.558052	0.558084
161	29    	0.558067	1.58422e-05	0.558052	0.558084
162	36    	0.55808 	9.91573e-06	0.558052	0.558084
163	34    	0.558084	0          	0.558084	0.558084
164	38    	0.558084	0          	0.558084	0.558084
165	34    	0.558084	7.77138e-06	0.558084	0.558162
166	37    	0.558084	0          	0.558084	0.558084
167	34    	0.558084	0          	0.558084	0.558084
168	33    	0.558084	0          	0.558084	0.558084
169	38    	0.558084	0          	0.558084	0.558084
170	38    	0.558084	0          	0.558084	0.558084
171	33    	0.558084	0          	0.558084	0.558084
172	35    	0.558084	0          	0.558084	0.558084
173	40    	0.558084	0          	0.558084	0.558084
174	33    	0.558084	0          	0.558084	0.558084
175	37    	0.558084	0          	0.558084	0.558084
176	33    	0.558084	0          	0.558084	0.558084
177	38    	0.558084	0          	0.558084	0.558084
178	30    	0.558084	0          	0.558084	0.558084
179	41    	0.558084	0          	0.558084	0.558084
180	31    	0.558084	0          	0.558084	0.558084
