# INITIALIZATION
Counter({'TP': 13393, 'TN': 3076, 'FN': 1822, 'FP': 1709})
# Initial Accuracy: 0.82345
# Initial MCC: 0.518953419845
# Minimal variation in Mu: -1.89158212109e-05
# Min in Mu: [-2.44411991e-06]
# Min variation in initial S: 8.69582184038e-14
gen	nevals	avg     	std      	min     	max     
0  	100   	0.499386	0.0255217	0.418823	0.535653
1  	35    	0.520745	0.0110042	0.486583	0.535653
2  	40    	0.529174	0.0044529	0.508444	0.535653
3  	33    	0.532204	0.00216927	0.525415	0.537787
4  	35    	0.533844	0.00161341	0.530118	0.537787
5  	41    	0.535203	0.00171558	0.531099	0.537787
6  	38    	0.536896	0.00201873	0.533176	0.542893
7  	30    	0.538267	0.00205227	0.535436	0.542893
8  	32    	0.54031 	0.00224865	0.536429	0.542893
9  	31    	0.541795	0.00158656	0.537787	0.542893
10 	39    	0.542726	0.000685531	0.539665	0.543671
11 	38    	0.542965	0.000230781	0.542893	0.543752
12 	39    	0.543109	0.000431284	0.542893	0.545094
13 	40    	0.543355	0.000432429	0.542893	0.545094
14 	38    	0.543703	0.000243121	0.542893	0.545094
15 	33    	0.543837	0.000272747	0.543671	0.545094
16 	37    	0.544018	0.000489029	0.542767	0.545182
17 	32    	0.54452 	0.000609866	0.543752	0.545182
18 	34    	0.545007	0.000359662	0.54384 	0.545198
19 	38    	0.545155	0.000121004	0.544021	0.545363
20 	27    	0.545187	3.89826e-05	0.545094	0.545363
21 	37    	0.545204	5.8661e-05 	0.545182	0.545363
22 	34    	0.545253	0.00010142 	0.545182	0.54554 
23 	40    	0.545337	0.000119825	0.545182	0.54554 
24 	33    	0.545431	0.00030397 	0.543077	0.546581
25 	33    	0.54561 	0.000332806	0.545363	0.546581
26 	41    	0.545827	0.000443823	0.545402	0.546581
27 	35    	0.546172	0.000448467	0.54554 	0.546581
28 	39    	0.546513	0.000222201	0.545629	0.546749
29 	36    	0.546585	1.7158e-05 	0.546581	0.546749
30 	34    	0.54661 	7.55624e-05	0.546581	0.546986
31 	36    	0.546656	0.000106694	0.546581	0.546986
32 	34    	0.546748	0.000145842	0.546592	0.547087
33 	38    	0.546871	0.000139397	0.546592	0.547087
34 	40    	0.54699 	0.00010224 	0.546749	0.547125
35 	35    	0.547075	8.50074e-05	0.546907	0.547683
36 	32    	0.547168	0.000158412	0.547074	0.547683
37 	32    	0.547281	0.000217501	0.547087	0.547741
38 	34    	0.547469	0.00022    	0.547087	0.547829
39 	35    	0.547652	0.000139162	0.547301	0.547829
40 	34    	0.54774 	5.54868e-05	0.547623	0.547829
41 	34    	0.547789	5.65793e-05	0.547683	0.547909
42 	34    	0.547838	6.94468e-05	0.547683	0.54814 
43 	36    	0.547877	8.92866e-05	0.547494	0.54814 
44 	36    	0.54794 	9.58092e-05	0.547829	0.54814 
45 	37    	0.548032	0.000110445	0.547829	0.548308
46 	30    	0.548135	0.000102726	0.547909	0.548365
47 	39    	0.548189	0.000151792	0.546984	0.548365
48 	43    	0.548325	0.000251298	0.54814 	0.549329
49 	33    	0.548443	0.00030521 	0.548229	0.549329
50 	34    	0.54855 	0.000375038	0.548308	0.54937 
51 	39    	0.548858	0.000447227	0.548308	0.54937 
52 	36    	0.549202	0.000377202	0.548365	0.550356
53 	34    	0.549435	0.000322082	0.549239	0.55056 
54 	37    	0.549671	0.00045672 	0.549239	0.55056 
55 	30    	0.550126	0.000453818	0.549329	0.55056 
56 	35    	0.550411	0.000208943	0.54937 	0.550718
57 	36    	0.550532	0.000102401	0.550356	0.550718
58 	32    	0.550587	7.12202e-05	0.550356	0.550718
59 	33    	0.550626	7.80561e-05	0.55056 	0.550718
60 	39    	0.550675	7.49817e-05	0.55056 	0.550807
61 	30    	0.550743	8.90723e-05	0.55056 	0.551212
62 	41    	0.550799	0.00014381 	0.550718	0.551212
63 	39    	0.550899	0.000187297	0.550718	0.551212
64 	31    	0.551023	0.000201889	0.550771	0.551212
65 	37    	0.551166	0.000126457	0.550807	0.551212
66 	35    	0.551208	6.34206e-05	0.550807	0.551367
67 	39    	0.551221	3.68655e-05	0.551212	0.551367
68 	41    	0.551237	5.69089e-05	0.551212	0.551367
69 	37    	0.551266	8.09621e-05	0.551212	0.551646
70 	43    	0.551329	0.000113081	0.551212	0.551646
71 	35    	0.551405	0.000109663	0.551212	0.551646
72 	34    	0.551486	0.000136614	0.551367	0.551674
73 	40    	0.551631	0.000161705	0.55074 	0.552164
74 	33    	0.551705	0.000135717	0.551484	0.552164
75 	35    	0.551789	0.000179773	0.551646	0.552164
76 	31    	0.551934	0.000207989	0.551646	0.552164
77 	30    	0.552095	0.00013058 	0.551674	0.552164
78 	35    	0.55216 	3.42035e-05	0.551935	0.552256
79 	40    	0.552164	0          	0.552164	0.552164
80 	36    	0.552164	0          	0.552164	0.552164
81 	35    	0.552164	0          	0.552164	0.552164
82 	37    	0.552164	0          	0.552164	0.552164
83 	29    	0.552164	0          	0.552164	0.552164
84 	30    	0.552164	0          	0.552164	0.552164
85 	33    	0.552176	5.29302e-05	0.552164	0.552501
86 	42    	0.552197	8.7117e-05 	0.552164	0.552501
87 	33    	0.552232	0.000179515	0.550878	0.552501
88 	34    	0.552333	0.000120053	0.552164	0.552501
89 	33    	0.552419	7.27524e-05	0.552164	0.552749
90 	33    	0.552474	7.99099e-05	0.552332	0.552749
91 	37    	0.552544	0.000126628	0.552413	0.553172
92 	35    	0.552623	0.000158915	0.552413	0.553172
93 	29    	0.552753	0.000181573	0.552501	0.553172
94 	38    	0.552845	0.000181944	0.552581	0.553172
95 	38    	0.553017	0.000210566	0.552597	0.55334 
96 	29    	0.553198	0.000115257	0.552749	0.553389
97 	34    	0.553257	7.47906e-05	0.553172	0.553389
98 	33    	0.553315	5.4672e-05 	0.553172	0.553389
99 	37    	0.553353	4.36799e-05	0.553221	0.553474
100	41    	0.553393	6.15929e-05	0.55334 	0.553894
101	33    	0.553422	6.44368e-05	0.55334 	0.553894
102	36    	0.553474	0.000112592	0.553389	0.553894
103	37    	0.553512	0.000129958	0.553389	0.553894
104	34    	0.553589	0.000182647	0.553474	0.553894
105	34    	0.553712	0.000197871	0.553474	0.553894
106	34    	0.553868	8.71786e-05	0.553474	0.553894
107	39    	0.553891	2.41356e-05	0.553651	0.553894
108	37    	0.553897	2.01912e-05	0.553894	0.554087
109	36    	0.553865	0.000319899	0.550688	0.554087
110	36    	0.5539  	2.75726e-05	0.553894	0.554087
111	35    	0.553921	5.77288e-05	0.553894	0.554087
112	31    	0.553979	0.000130447	0.553726	0.554939
113	33    	0.554054	0.000119967	0.553912	0.554939
114	29    	0.554145	0.00022106 	0.553912	0.554939
115	38    	0.554324	0.000392439	0.554077	0.555301
116	39    	0.554606	0.000434046	0.554087	0.555301
117	37    	0.554913	0.000310687	0.554087	0.555301
118	35    	0.555114	0.000161754	0.554939	0.555301
119	35    	0.555254	0.000106901	0.554939	0.555301
120	41    	0.555301	1.11022e-16	0.555301	0.555301
121	38    	0.555301	1.53456e-06	0.555301	0.555316
122	39    	0.555301	1.53456e-06	0.555301	0.555316
123	37    	0.555301	3.02226e-06	0.555301	0.555316
124	33    	0.555302	3.66274e-06	0.555301	0.555316
125	34    	0.555303	5.18678e-06	0.555301	0.555316
126	40    	0.555342	0.000178725	0.555301	0.556217
127	28    	0.555412	0.000283236	0.555301	0.556217
128	34    	0.555578	0.000408398	0.555301	0.556217
129	37    	0.555874	0.00043424 	0.555316	0.556278
130	38    	0.556193	0.000189001	0.555316	0.556278
131	39    	0.556253	2.9601e-05 	0.556217	0.556278
132	40    	0.556276	2.04746e-05	0.556217	0.556331
133	41    	0.556281	1.06472e-05	0.556278	0.556331
134	33    	0.556289	2.38105e-05	0.556278	0.556392
135	31    	0.556307	3.40792e-05	0.556278	0.556392
136	29    	0.556338	4.05461e-05	0.556278	0.556426
137	39    	0.556366	3.63346e-05	0.556307	0.556426
138	35    	0.556403	3.68652e-05	0.556331	0.55654 
139	26    	0.556424	4.09937e-05	0.556331	0.556569
140	31    	0.556441	4.91377e-05	0.556392	0.556569
141	35    	0.556477	6.46728e-05	0.556392	0.556569
142	33    	0.556512	6.24523e-05	0.556422	0.556569
143	37    	0.556561	3.52595e-05	0.556426	0.556643
144	34    	0.556579	2.64096e-05	0.55654 	0.556643
145	33    	0.556598	3.59628e-05	0.556569	0.556643
146	36    	0.556623	3.31056e-05	0.556569	0.556643
147	34    	0.556651	6.23714e-05	0.556569	0.557085
148	36    	0.556658	8.03489e-05	0.556643	0.557127
149	38    	0.556684	0.000125414	0.556643	0.557127
150	36    	0.556759	0.000193499	0.556643	0.557127
151	33    	0.556927	0.000217221	0.556643	0.557127
152	34    	0.557078	0.000126447	0.556643	0.557158
153	34    	0.557126	1.6294e-05 	0.557085	0.557158
154	30    	0.557136	1.40092e-05	0.557127	0.557158
155	32    	0.557146	1.70804e-05	0.557127	0.557201
156	35    	0.557156	1.50767e-05	0.557127	0.557201
157	36    	0.557163	1.33185e-05	0.557158	0.557201
158	29    	0.55717 	1.88977e-05	0.557158	0.557201
159	39    	0.557186	2.03028e-05	0.557158	0.557201
160	34    	0.557199	9.27709e-06	0.557158	0.557201
161	34    	0.557201	0          	0.557201	0.557201
162	35    	0.557201	0          	0.557201	0.557201
163	35    	0.557201	0          	0.557201	0.557201
164	35    	0.557201	0          	0.557201	0.557201
165	30    	0.557201	0          	0.557201	0.557201
166	40    	0.557201	0          	0.557201	0.557201
167	32    	0.557201	0          	0.557201	0.557201
168	33    	0.557207	5.58587e-05	0.557201	0.557762
169	35    	0.557207	5.58587e-05	0.557201	0.557762
170	40    	0.557252	0.000154313	0.557201	0.557762
171	32    	0.557315	0.000218376	0.557201	0.557762
172	35    	0.5575  	0.000259293	0.557201	0.557762
173	33    	0.557715	0.000132252	0.557201	0.557762
174	29    	0.557771	6.91179e-05	0.557762	0.558444
175	35    	0.557773	7.22412e-05	0.557762	0.558452
176	34    	0.557787	0.000119341	0.557762	0.558452
177	37    	0.557841	0.00019737 	0.557762	0.558452
178	35    	0.558055	0.000312608	0.557762	0.558452
179	33    	0.558258	0.000268364	0.557762	0.558452
180	35    	0.558415	0.000130793	0.557902	0.558452
181	36    	0.558452	2.22045e-16	0.558452	0.558452
182	35    	0.558452	2.22045e-16	0.558452	0.558452
183	37    	0.558452	2.22045e-16	0.558452	0.558452
184	35    	0.558452	2.22045e-16	0.558452	0.558452
185	32    	0.558452	2.22045e-16	0.558452	0.558452
186	28    	0.558452	2.22045e-16	0.558452	0.558452
187	38    	0.558452	2.22045e-16	0.558452	0.558452
188	38    	0.558452	2.22045e-16	0.558452	0.558452
189	39    	0.558452	2.22045e-16	0.558452	0.558452
190	35    	0.558452	2.22045e-16	0.558452	0.558452
191	37    	0.558452	2.22045e-16	0.558452	0.558452
192	37    	0.55846 	4.20131e-05	0.558452	0.558699
193	38    	0.558473	6.76317e-05	0.558452	0.558699
194	33    	0.558511	0.000105184	0.558452	0.558699
195	33    	0.558588	0.000122525	0.558452	0.558699
196	37    	0.558685	0.000115103	0.558452	0.559091
197	35    	0.558744	0.000123149	0.558699	0.559091
198	39    	0.558802	0.000164318	0.558699	0.559091
199	34    	0.558919	0.000182686	0.558699	0.559091
200	37    	0.559073	0.000103868	0.558699	0.559259
0.83155
0.559259208274
