# INITIALIZATION
Counter({'TP': 13393, 'TN': 3076, 'FN': 1822, 'FP': 1709})
# Initial Accuracy: 0.82345
# Initial MCC: 0.518953419845
# Minimal variation in Mu: -1.89158212109e-05
# Min in Mu: [-2.44411991e-06]
# Min variation in initial S: 8.69582184038e-14
gen	nevals	avg     	std      	min     	max    
0  	100   	0.492871	0.0323918	0.398036	0.53816
1  	36    	0.517829	0.0166573	0.420093	0.53816
2  	39    	0.529323	0.00527863	0.504289	0.53816
3  	34    	0.532698	0.00278627	0.527717	0.53816
4  	36    	0.534709	0.00254836	0.528674	0.538802
5  	40    	0.536792	0.00168053	0.53251 	0.53901 
6  	38    	0.538136	0.000645182	0.535299	0.539347
7  	36    	0.538765	0.000886107	0.536748	0.545512
8  	30    	0.539337	0.00119339 	0.53816 	0.545512
9  	34    	0.539991	0.00136561 	0.538742	0.545512
10 	38    	0.540673	0.0016825  	0.539109	0.545512
11 	33    	0.542185	0.00233803 	0.539529	0.546172
12 	37    	0.543667	0.00204615 	0.540052	0.545974
13 	34    	0.545356	0.000973439	0.541213	0.546727
14 	36    	0.545841	0.000516146	0.543018	0.54687 
15 	34    	0.546149	0.00044189 	0.5444  	0.54687 
16 	38    	0.546418	0.000385526	0.544956	0.54687 
17 	38    	0.546664	0.000222922	0.545974	0.54687 
18 	34    	0.546781	7.39196e-05	0.546611	0.54687 
19 	37    	0.546822	6.90935e-05	0.546727	0.546974
20 	39    	0.546873	3.93358e-05	0.546727	0.547156
21 	31    	0.546893	5.77294e-05	0.54687 	0.547156
22 	31    	0.54699 	0.000320882	0.54687 	0.548754
23 	31    	0.547167	0.000534547	0.54687 	0.548754
24 	32    	0.547455	0.00069772 	0.54687 	0.548754
25 	39    	0.547858	0.00078806 	0.546974	0.548852
26 	35    	0.548345	0.000660074	0.547065	0.548852
27 	34    	0.548686	0.000294417	0.547156	0.548852
28 	40    	0.548832	0.00027365 	0.548754	0.550351
29 	34    	0.54889 	0.000307698	0.548754	0.550351
30 	33    	0.549109	0.000517039	0.548754	0.550351
31 	30    	0.549509	0.000661652	0.548852	0.550492
32 	39    	0.550076	0.000520242	0.548989	0.550492
33 	33    	0.550359	0.000179064	0.549079	0.550492
34 	37    	0.550454	6.85734e-05	0.550351	0.550583
35 	33    	0.550504	4.2825e-05 	0.550351	0.550683
36 	40    	0.550538	7.94034e-05	0.550492	0.550885
37 	38    	0.550589	9.47109e-05	0.550492	0.550885
38 	32    	0.550607	0.000385773	0.546924	0.550885
39 	35    	0.550725	0.000163334	0.550492	0.551516
40 	31    	0.550873	0.000223355	0.550492	0.551516
41 	37    	0.551058	0.00028196 	0.550683	0.552057
42 	37    	0.551326	0.000345988	0.550885	0.552057
43 	34    	0.551561	0.000320992	0.550077	0.552057
44 	35    	0.551787	0.000254747	0.551425	0.552057
45 	29    	0.551947	0.00019523 	0.551516	0.552085
46 	34    	0.552051	5.65011e-05	0.551516	0.552085
47 	33    	0.552061	9.79917e-06	0.552057	0.552094
48 	35    	0.552066	1.45617e-05	0.552057	0.552094
49 	37    	0.552075	1.59845e-05	0.552057	0.552094
50 	34    	0.552089	8.97852e-06	0.552057	0.552094
51 	41    	0.552093	2.81138e-06	0.552085	0.552094
52 	34    	0.552097	1.37771e-05	0.552094	0.552157
53 	39    	0.552104	2.37451e-05	0.552094	0.552157
54 	36    	0.55212 	3.10905e-05	0.552094	0.552157
55 	40    	0.552144	2.57474e-05	0.552094	0.552157
56 	36    	0.552157	0          	0.552157	0.552157
57 	33    	0.552157	0          	0.552157	0.552157
58 	26    	0.552157	0          	0.552157	0.552157
59 	34    	0.552157	0          	0.552157	0.552157
60 	35    	0.552157	0          	0.552157	0.552157
61 	36    	0.552157	0          	0.552157	0.552157
62 	38    	0.552162	2.70324e-05	0.552157	0.552315
63 	31    	0.552173	4.74535e-05	0.552157	0.552315
64 	32    	0.552208	7.38791e-05	0.552157	0.552315
65 	38    	0.55228 	7.12957e-05	0.552157	0.552444
66 	38    	0.552323	3.66888e-05	0.552157	0.552444
67 	38    	0.552361	0.000144272	0.552315	0.553305
68 	39    	0.552451	0.000259025	0.552315	0.553305
69 	37    	0.552606	0.000362974	0.552315	0.553305
70 	40    	0.552823	0.000427737	0.552444	0.553305
71 	36    	0.553142	0.000338046	0.552444	0.553305
72 	36    	0.553301	3.12455e-05	0.553074	0.553305
73 	32    	0.553306	8.00399e-06	0.553305	0.553362
74 	38    	0.553314	3.38568e-05	0.553305	0.553528
75 	37    	0.553336	7.60602e-05	0.553305	0.553728
76 	35    	0.553383	0.000112553	0.553305	0.553728
77 	38    	0.553504	0.000164601	0.553305	0.553728
78 	34    	0.553614	0.000144124	0.553305	0.553728
79 	36    	0.55371 	5.2906e-05 	0.553527	0.553728
80 	37    	0.553726	1.99498e-05	0.553528	0.553728
81 	35    	0.553728	2.22045e-16	0.553728	0.553728
82 	38    	0.553728	2.22045e-16	0.553728	0.553728
83 	32    	0.553728	2.22045e-16	0.553728	0.553728
84 	36    	0.553728	2.22045e-16	0.553728	0.553728
85 	33    	0.553728	2.22045e-16	0.553728	0.553728
86 	32    	0.553728	2.22045e-16	0.553728	0.553728
87 	41    	0.553728	2.22045e-16	0.553728	0.553728
88 	36    	0.553729	2.69295e-06	0.553728	0.55374 
89 	35    	0.553739	5.23724e-05	0.553728	0.554036
90 	30    	0.553783	0.000121436	0.553728	0.554324
91 	34    	0.553905	0.000188853	0.553728	0.554324
92 	29    	0.554079	0.000191829	0.553728	0.554597
93 	38    	0.554315	0.000291659	0.554036	0.555332
94 	30    	0.554514	0.000311627	0.554036	0.555332
95 	32    	0.554747	0.000334884	0.554322	0.555332
96 	34    	0.555048	0.00025381 	0.554324	0.555332
97 	34    	0.555216	0.000171892	0.554919	0.555332
98 	35    	0.555327	3.42411e-05	0.555087	0.555332
99 	34    	0.555332	0          	0.555332	0.555332
100	29    	0.555332	0          	0.555332	0.555332
101	40    	0.555332	0          	0.555332	0.555332
102	36    	0.555332	0          	0.555332	0.555332
103	35    	0.555332	0          	0.555332	0.555332
104	40    	0.555336	3.95334e-05	0.555332	0.555729
105	38    	0.55534 	5.56256e-05	0.555332	0.555729
106	36    	0.55536 	0.000101376	0.555332	0.555729
107	26    	0.555411	0.00015893 	0.555332	0.555729
108	37    	0.555503	0.000194879	0.555332	0.555729
109	33    	0.555644	0.00016683 	0.555332	0.555897
110	27    	0.555738	3.66591e-05	0.555729	0.555897
111	31    	0.555743	4.56325e-05	0.555729	0.555897
112	33    	0.555752	6.3511e-05 	0.555546	0.555897
