# INITIALIZATION
Counter({'TP': 13393, 'TN': 3076, 'FN': 1822, 'FP': 1709})
# Initial Accuracy: 0.82345
# Initial MCC: 0.518953419845
# Minimal variation in Mu: -1.89158212109e-05
# Min in Mu: [-2.44411991e-06]
# Min variation in initial S: 8.69582184038e-14
gen	nevals	avg    	std      	min     	max     
0  	100   	0.50172	0.0295585	0.410725	0.531002
1  	34    	0.51897	0.0132543	0.451049	0.531002
2  	37    	0.527436	0.00435509	0.510347	0.535359
3  	36    	0.530935	0.00200794	0.52505 	0.536862
4  	36    	0.532433	0.00192249	0.528989	0.536862
5  	31    	0.534089	0.00179664	0.530699	0.536862
6  	28    	0.535566	0.00102006	0.532167	0.538938
7  	35    	0.536357	0.00115642	0.535359	0.539342
8  	32    	0.537171	0.00125383	0.535569	0.539342
9  	37    	0.5381  	0.00117695	0.535569	0.539831
10 	37    	0.53889 	0.000784658	0.536862	0.541223
11 	29    	0.539396	0.000226106	0.538921	0.539831
12 	35    	0.539567	0.000597924	0.535449	0.541411
13 	31    	0.539854	0.000526426	0.539342	0.542141
14 	30    	0.540199	0.000614988	0.539342	0.541411
15 	32    	0.540567	0.000693085	0.539831	0.541411
16 	31    	0.541148	0.000619707	0.539831	0.542884
17 	36    	0.541555	0.00038367 	0.540742	0.543006
18 	37    	0.541747	0.000380667	0.540835	0.542884
19 	31    	0.541998	0.000409404	0.541411	0.542884
20 	30    	0.542306	0.000399541	0.541534	0.542884
21 	34    	0.542632	0.000426244	0.541534	0.544387
22 	36    	0.542976	0.000563654	0.542294	0.545856
23 	34    	0.543244	0.000659052	0.542847	0.545856
24 	39    	0.543734	0.000810481	0.542884	0.545856
25 	26    	0.54434 	0.000635734	0.542884	0.545856
26 	36    	0.544691	0.000579123	0.543871	0.545856
27 	39    	0.54508 	0.000725447	0.544387	0.546116
28 	30    	0.545624	0.000582609	0.544387	0.546116
29 	32    	0.545945	0.000198481	0.54481 	0.546188
30 	38    	0.54605 	8.33126e-05	0.545856	0.546188
31 	34    	0.546144	0.000154154	0.545953	0.54686 
32 	39    	0.54626 	0.000253495	0.54608 	0.54686 
33 	28    	0.546414	0.000303839	0.546116	0.54686 
34 	29    	0.546671	0.000325089	0.546188	0.547786
35 	32    	0.54692 	0.000230032	0.546404	0.547786
36 	31    	0.547013	0.000295223	0.546772	0.547786
37 	36    	0.547118	0.000319026	0.54686 	0.547786
38 	32    	0.547456	0.00024238 	0.54686 	0.547936
39 	35    	0.547577	0.000144148	0.547232	0.547936
40 	34    	0.547665	0.000168337	0.547514	0.547936
41 	36    	0.547854	0.000268967	0.547514	0.549504
42 	36    	0.548012	0.000315947	0.547514	0.549403
43 	39    	0.548299	0.000491819	0.547844	0.549717
44 	39    	0.548762	0.00057976 	0.547936	0.550069
45 	37    	0.54919 	0.000557147	0.546352	0.550069
46 	35    	0.549518	0.000328971	0.548641	0.550069
47 	36    	0.549723	0.000245255	0.549403	0.550069
48 	45    	0.549882	0.000220194	0.549403	0.550406
49 	27    	0.550046	0.000122703	0.549717	0.550406
50 	40    	0.550127	0.00014503 	0.549874	0.550705
51 	34    	0.550188	0.000182385	0.550069	0.550705
52 	31    	0.550343	0.000204442	0.550069	0.550705
53 	35    	0.550514	0.000195945	0.550069	0.551158
54 	33    	0.550664	0.000249045	0.550406	0.551229
55 	35    	0.550861	0.000225251	0.550406	0.551229
56 	33    	0.551067	0.000168415	0.550685	0.551229
57 	39    	0.551183	9.38508e-05	0.550705	0.551229
58 	36    	0.551223	3.52092e-05	0.551023	0.551229
59 	32    	0.551229	0          	0.551229	0.551229
60 	39    	0.551239	7.14688e-05	0.551229	0.551919
61 	37    	0.551254	0.000128104	0.551229	0.552295
62 	35    	0.551291	0.000158333	0.551229	0.551919
63 	33    	0.551393	0.000256736	0.551229	0.552598
64 	34    	0.551597	0.000319591	0.551229	0.552598
65 	37    	0.551906	0.000313787	0.551229	0.552598
66 	33    	0.552077	0.000285533	0.551547	0.55277 
67 	37    	0.552233	0.000342253	0.551919	0.55277 
68 	38    	0.552492	0.000304703	0.551919	0.55277 
69 	33    	0.552701	0.000142643	0.551919	0.55277 
70 	38    	0.552764	3.06507e-05	0.552598	0.55277 
71 	29    	0.55277 	0          	0.55277 	0.55277 
