# INITIALIZATION
Counter({'TP': 13393, 'TN': 3076, 'FN': 1822, 'FP': 1709})
# Initial Accuracy: 0.82345
# Initial MCC: 0.518953419845
# Minimal variation in Mu: -1.89158212109e-05
# Min in Mu: [-2.44411991e-06]
# Min variation in initial S: 8.69582184038e-14
gen	nevals	avg     	std      	min    	max     
0  	100   	0.500672	0.0285786	0.40076	0.535523
1  	35    	0.51897 	0.0109372	0.47752	0.535523
2  	34    	0.527804	0.00528544	0.511892	0.535523
3  	33    	0.532349	0.00316774	0.5244  	0.538532
4  	31    	0.53505 	0.00230121	0.52981 	0.540981
5  	33    	0.53678 	0.00175366	0.532746	0.540981
6  	29    	0.538323	0.00144725	0.53458 	0.540981
7  	41    	0.539332	0.00132202	0.536669	0.541007
8  	36    	0.540587	0.000885828	0.537525	0.541929
9  	37    	0.541155	0.000428251	0.540952	0.543372
10 	38    	0.541563	0.000721246	0.540981	0.544634
11 	40    	0.542166	0.000958808	0.540981	0.544634
12 	40    	0.542974	0.00119633 	0.540981	0.544765
13 	31    	0.543983	0.000929082	0.541978	0.544765
14 	40    	0.544549	0.000371425	0.542065	0.544765
15 	34    	0.544661	8.85109e-05	0.544634	0.545374
16 	36    	0.544705	0.000137071	0.544634	0.545374
17 	36    	0.544827	0.000233879	0.544634	0.545525
18 	35    	0.545052	0.000475455	0.544634	0.546978
19 	41    	0.545393	0.000620022	0.544765	0.547133
20 	36    	0.54591 	0.000651947	0.545175	0.547133
21 	37    	0.546508	0.000584987	0.545242	0.547133
22 	32    	0.546967	0.000234446	0.545676	0.547133
23 	35    	0.547056	7.77157e-05	0.546978	0.547133
24 	33    	0.547122	3.96579e-05	0.546978	0.547133
25 	35    	0.547132	1.54652e-05	0.546978	0.547133
26 	31    	0.547133	1.11022e-16	0.547133	0.547133
27 	38    	0.547133	1.11022e-16	0.547133	0.547133
28 	31    	0.547137	3.66589e-05	0.547133	0.547502
29 	34    	0.547137	3.66589e-05	0.547133	0.547502
30 	33    	0.547142	5.16394e-05	0.547133	0.547502
31 	38    	0.547174	0.000106596	0.547133	0.547502
32 	37    	0.547251	0.000152348	0.547133	0.547502
33 	35    	0.547362	0.00014724 	0.547133	0.547588
34 	35    	0.54746 	8.37351e-05	0.547133	0.547588
35 	35    	0.547515	5.23642e-05	0.547397	0.54794 
36 	35    	0.547539	8.94639e-05	0.547502	0.54794 
37 	35    	0.547591	0.000123316	0.547502	0.54794 
38 	39    	0.54769 	0.000168827	0.547502	0.54794 
39 	37    	0.547827	0.000163636	0.547588	0.54794 
40 	34    	0.547922	7.71202e-05	0.547588	0.547966
41 	31    	0.547946	3.77138e-05	0.54794 	0.548313
42 	40    	0.547959	6.40942e-05	0.54794 	0.548313
43 	38    	0.547994	0.000100032	0.54794 	0.548313
44 	34    	0.548061	0.000142097	0.54794 	0.548547
45 	33    	0.548162	0.000153819	0.54794 	0.548547
46 	38    	0.54827 	0.000139688	0.547966	0.548599
47 	36    	0.548387	0.000146299	0.548216	0.548599
