# INITIALIZATION
Counter({'TP': 77, 'FP': 72, 'TN': 63, 'FN': 31})
# Initial Accuracy: 0.576131687243
# Initial MCC: 0.183273500723
# Minimal variation in Mu: -0.12253588544
# Min in Mu: [-0.05541708]
# Min variation in initial S: 6.53119483148e-05
gen	nevals	avg     	std      	min      	max     
0  	100   	0.170536	0.0314547	0.0760285	0.279246
1  	29    	0.201274	0.0286644	0.152361 	0.279246
2  	37    	0.223811	0.0309457	0.178263 	0.279246
3  	33    	0.247559	0.0304202	0.191404 	0.310219
4  	36    	0.269887	0.0202774	0.214922 	0.310219
5  	33    	0.281233	0.00916815	0.236814 	0.310219
6  	33    	0.287116	0.00859856	0.279008 	0.310248
7  	37    	0.295598	0.0110499 	0.278992 	0.312213
8  	37    	0.304336	0.00873563	0.283835 	0.312213
9  	34    	0.310793	0.00384584	0.293478 	0.321833
10 	38    	0.314226	0.00421893	0.310219 	0.321833
11 	33    	0.316688	0.00466707	0.312213 	0.321833
12 	31    	0.320622	0.00326073	0.312213 	0.331181
13 	31    	0.322389	0.00222148	0.321706 	0.331181
14 	35    	0.322768	0.00280433	0.321833 	0.331181
15 	36    	0.323423	0.00351162	0.321833 	0.331191
16 	41    	0.325457	0.00450151	0.321833 	0.331331
17 	34    	0.327986	0.00415116	0.321822 	0.331331
18 	36    	0.330439	0.00226923	0.321833 	0.331331
19 	39    	0.331204	4.46115e-05	0.331181 	0.331331
20 	34    	0.331521	0.00193016 	0.331181 	0.345026
21 	39    	0.331964	0.00299714 	0.331191 	0.345026
22 	38    	0.333238	0.00477256 	0.331213 	0.345309
23 	29    	0.335604	0.00637952 	0.33123  	0.34539 
24 	34    	0.339636	0.00671875 	0.331331 	0.345436
25 	33    	0.344158	0.00378583 	0.331331 	0.345529
26 	36    	0.345126	0.0017039  	0.331331 	0.345501
27 	37    	0.345426	4.56956e-05	0.345248 	0.345501
28 	34    	0.345933	0.00176649 	0.34539  	0.352371
29 	37    	0.346928	0.00282418 	0.345436 	0.352591
30 	31    	0.349516	0.00342483 	0.345436 	0.352591
31 	33    	0.35157 	0.00234863 	0.345442 	0.352591
32 	40    	0.352538	6.55567e-05	0.352371 	0.352591
33 	40    	0.352583	1.77645e-05	0.352525 	0.352622
34 	28    	0.352591	4.36256e-06	0.352578 	0.352622
35 	34    	0.352592	4.25975e-06	0.352591 	0.352622
36 	41    	0.352593	6.63137e-06	0.352591 	0.352622
37 	35    	0.352595	9.88754e-06	0.352591 	0.352622
38 	37    	0.3526  	1.51037e-05	0.352591 	0.352645
39 	32    	0.352608	1.96314e-05	0.352591 	0.35265 
40 	33    	0.352621	1.72139e-05	0.352591 	0.352653
41 	33    	0.352637	1.23237e-05	0.352591 	0.352657
42 	29    	0.352647	9.50914e-06	0.352622 	0.352662
43 	36    	0.352555	0.000979461	0.342809 	0.352662
44 	37    	0.352658	3.57719e-06	0.35265  	0.352662
