# INITIALIZATION
Counter({'TP': 77, 'FP': 72, 'TN': 63, 'FN': 31})
# Initial Accuracy: 0.576131687243
# Initial MCC: 0.183273500723
# Minimal variation in Mu: -0.12253588544
# Min in Mu: [-0.05541708]
# Min variation in initial S: 6.53119483148e-05
gen	nevals	avg     	std      	min     	max     
0  	100   	0.178795	0.0331929	0.093911	0.245884
1  	33    	0.204939	0.0237036	0.135907	0.245884
2  	45    	0.226264	0.0147031	0.168048	0.246907
3  	31    	0.237249	0.00973044	0.212699	0.254255
4  	37    	0.244992	0.00759673	0.22735 	0.265354
5  	33    	0.251563	0.00781044	0.241106	0.28418 
6  	32    	0.256357	0.0091646 	0.245898	0.28418 
7  	37    	0.263399	0.010803  	0.243866	0.284709
8  	31    	0.271723	0.00974936	0.254046	0.284709
9  	33    	0.279885	0.00628895	0.254255	0.285456
10 	30    	0.283115	0.00327466	0.268724	0.285456
11 	38    	0.285522	0.00362311	0.277938	0.298313
12 	34    	0.288067	0.00531439	0.28418 	0.300364
13 	35    	0.291569	0.0059818 	0.284709	0.300364
14 	35    	0.296936	0.00375627	0.285456	0.305658
15 	35    	0.29943 	0.00424753	0.29084 	0.3192  
16 	38    	0.302046	0.0058354 	0.29084 	0.3192  
17 	35    	0.305988	0.00698327	0.298313	0.3192  
18 	38    	0.311245	0.00710695	0.300131	0.324045
19 	33    	0.316803	0.00487069	0.305603	0.324045
20 	36    	0.319682	0.00171936	0.312078	0.324045
21 	38    	0.320932	0.00234547	0.313945	0.324045
22 	38    	0.323201	0.00204056	0.3192  	0.328481
23 	33    	0.324544	0.0019053 	0.3192  	0.328481
24 	40    	0.32688 	0.00369577	0.324045	0.338142
25 	31    	0.330402	0.00431163	0.324045	0.338142
26 	38    	0.333986	0.00366675	0.324045	0.340319
27 	41    	0.337021	0.00272198	0.328481	0.340576
28 	37    	0.33903 	0.00166722	0.3336  	0.345049
29 	36    	0.339961	0.00172585	0.337939	0.345049
30 	38    	0.341201	0.00206556	0.338142	0.345049
31 	37    	0.343225	0.00329957	0.340196	0.354694
32 	35    	0.346594	0.00417065	0.34034 	0.354694
33 	38    	0.350304	0.00452928	0.340656	0.354694
34 	37    	0.353457	0.00295047	0.345049	0.354694
35 	34    	0.354358	0.00149464	0.345049	0.354727
36 	33    	0.354659	6.40867e-05	0.354543	0.354727
37 	35    	0.354693	2.03514e-05	0.354543	0.354727
38 	37    	0.354699	1.17289e-05	0.354694	0.354727
39 	34    	0.354728	0.000232552	0.354694	0.357036
40 	35    	0.354831	0.000506186	0.354694	0.357036
41 	42    	0.355119	0.000872547	0.354694	0.357116
42 	34    	0.355352	0.00102863 	0.354694	0.357116
43 	35    	0.356194	0.00112491 	0.354727	0.357172
44 	34    	0.356885	0.000637766	0.354727	0.357172
45 	37    	0.357105	4.2503e-05 	0.357036	0.357173
46 	36    	0.357133	2.15703e-05	0.357036	0.357177
47 	39    	0.357148	2.05914e-05	0.357114	0.35718 
48 	32    	0.357162	1.74798e-05	0.357129	0.35718 
49 	37    	0.357172	8.38062e-06	0.357136	0.357182
50 	35    	0.357176	3.29045e-06	0.357172	0.357182
51 	35    	0.357178	3.21808e-06	0.357173	0.357182
52 	36    	0.35718 	2.51564e-06	0.357173	0.357185
53 	36    	0.35711 	0.00070811 	0.350064	0.357185
54 	36    	0.357183	1.91252e-06	0.35718 	0.357185
55 	37    	0.357184	1.55952e-06	0.357182	0.357185
56 	38    	0.357185	1.37357e-06	0.357183	0.35719 
57 	34    	0.357186	1.7402e-06 	0.357184	0.35719 
58 	38    	0.357187	2.06422e-06	0.357185	0.35719 
59 	36    	0.357188	1.96687e-06	0.357185	0.35719 
60 	39    	0.357189	1.00997e-06	0.357185	0.35719 
61 	31    	0.35719 	1.66533e-16	0.35719 	0.35719 
62 	39    	0.35719 	1.66533e-16	0.35719 	0.35719 
63 	38    	0.35719 	1.66533e-16	0.35719 	0.35719 
64 	30    	0.35719 	1.66533e-16	0.35719 	0.35719 
65 	32    	0.35719 	1.66533e-16	0.35719 	0.35719 
66 	33    	0.35719 	1.66533e-16	0.35719 	0.35719 
67 	37    	0.35719 	1.66533e-16	0.35719 	0.35719 
68 	39    	0.35719 	1.66533e-16	0.35719 	0.35719 
69 	38    	0.35719 	1.66533e-16	0.35719 	0.35719 
70 	34    	0.357323	0.000937393	0.35719 	0.363885
71 	38    	0.357594	0.00160119 	0.35719 	0.364024
72 	36    	0.357658	0.00170838 	0.35719 	0.363885
73 	30    	0.358869	0.00290903 	0.35719 	0.364024
74 	33    	0.360558	0.00336891 	0.35719 	0.364054
75 	38    	0.363151	0.0022025  	0.35719 	0.364108
76 	36    	0.364015	6.95043e-05	0.363885	0.36413 
77 	39    	0.364067	4.68851e-05	0.363935	0.364139
78 	31    	0.364099	3.63117e-05	0.364024	0.364139
79 	41    	0.364126	1.42087e-05	0.364054	0.364139
80 	37    	0.364134	6.20536e-06	0.364108	0.364144
81 	38    	0.364138	3.60758e-06	0.36413 	0.364144
82 	36    	0.363575	0.00561461 	0.307711	0.364144
83 	34    	0.36414 	6.5467e-07 	0.364139	0.364144
84 	32    	0.36414 	1.33825e-06	0.364139	0.364144
85 	39    	0.364141	2.07605e-06	0.364139	0.364144
86 	31    	0.364143	2.18134e-06	0.364139	0.364144
87 	33    	0.364144	6.5467e-07 	0.364139	0.364144
88 	34    	0.364144	1.11022e-16	0.364144	0.364144
89 	34    	0.364144	1.11022e-16	0.364144	0.364144
90 	37    	0.364144	1.11022e-16	0.364144	0.364144
91 	36    	0.364144	1.11022e-16	0.364144	0.364144
92 	34    	0.364144	1.11022e-16	0.364144	0.364144
93 	34    	0.363929	0.00213914 	0.342645	0.364144
94 	38    	0.364144	1.11022e-16	0.364144	0.364144
95 	36    	0.364144	1.11022e-16	0.364144	0.364144
96 	37    	0.364144	1.11022e-16	0.364144	0.364144
