# INITIALIZATION
Counter({'TN': 386, 'TP': 224, 'FP': 15, 'FN': 4})
# Initial Accuracy: 0.969793322734
# Initial MCC: 0.935972275027
# Minimal variation in Mu: -0.179791891718
# Min in Mu: [-0.06005575]
# Min variation in initial S: 1.84924921727e-05
gen	nevals	avg     	std     	min     	max    
0  	100   	0.914177	0.011991	0.878053	0.93748
1  	33    	0.923751	0.00713028	0.903732	0.93748
2  	39    	0.929372	0.00458803	0.915985	0.938311
3  	39    	0.932776	0.00372603	0.925275	0.938775
4  	38    	0.934973	0.00271293	0.92778 	0.941333
5  	37    	0.937137	0.00203106	0.931412	0.944959
6  	31    	0.938269	0.00180534	0.931479	0.944959
7  	34    	0.939853	0.00238636	0.934814	0.948613
8  	34    	0.942073	0.00283406	0.937485	0.948613
9  	37    	0.94351 	0.00284165	0.934408	0.948613
10 	39    	0.94504 	0.00272705	0.934351	0.948613
11 	39    	0.946519	0.0020944 	0.941728	0.951187
12 	38    	0.947708	0.00196764	0.9441  	0.951837
13 	38    	0.949081	0.00166926	0.944959	0.951837
14 	39    	0.950199	0.00140392	0.947612	0.951837
15 	34    	0.951172	0.000858468	0.948613	0.951837
16 	28    	0.951655	0.000286888	0.951187	0.951837
17 	28    	0.951824	9.04482e-05	0.951187	0.951837
18 	39    	0.951894	0.000645173	0.948597	0.955048
19 	35    	0.952254	0.00107989 	0.951837	0.955048
20 	32    	0.952961	0.00153166 	0.951837	0.955049
21 	32    	0.953983	0.00150619 	0.951837	0.955049
22 	31    	0.954787	0.000870337	0.951837	0.955049
23 	37    	0.955049	1.67989e-05	0.954899	0.955083
24 	31    	0.955054	1.13433e-05	0.955048	0.955083
25 	36    	0.955063	1.5784e-05 	0.955049	0.955083
26 	35    	0.955075	1.30578e-05	0.955049	0.955083
27 	33    	0.955113	0.000304405	0.955049	0.958141
28 	36    	0.955114	0.000304201	0.955083	0.958141
29 	35    	0.955207	0.000599808	0.955083	0.958157
30 	37    	0.955576	0.00112597 	0.955083	0.958195
31 	38    	0.956351	0.00151382 	0.955083	0.958216
32 	38    	0.957437	0.0013168  	0.955083	0.95827 
33 	39    	0.95819 	3.10248e-05	0.958141	0.95827 
34 	36    	0.958211	2.19637e-05	0.958157	0.95827 
35 	37    	0.95822 	1.68825e-05	0.958157	0.95827 
36 	36    	0.958285	0.000437976	0.958216	0.961348
37 	34    	0.958636	0.00104882 	0.958216	0.961348
38 	38    	0.958992	0.00132464 	0.958216	0.961348
39 	35    	0.959746	0.00154349 	0.958216	0.961403
40 	32    	0.96093 	0.00107434 	0.95823 	0.961403
41 	34    	0.96138 	2.57706e-05	0.961348	0.961403
42 	37    	0.961402	1.53911e-05	0.961348	0.961454
43 	39    	0.961411	2.0143e-05 	0.961348	0.961454
44 	29    	0.961421	2.42261e-05	0.961403	0.961454
45 	37    	0.961439	2.30473e-05	0.961403	0.961454
46 	35    	0.961451	1.21412e-05	0.961403	0.961465
47 	38    	0.961454	2.18386e-06	0.961454	0.961465
48 	33    	0.961456	4.57106e-06	0.961454	0.961469
49 	35    	0.96146 	5.62903e-06	0.961454	0.961469
50 	32    	0.961464	3.32276e-06	0.961454	0.961469
51 	32    	0.961465	8.96323e-07	0.961465	0.961469
52 	39    	0.961429	0.000358011	0.957867	0.961469
53 	29    	0.961467	4.45783e-06	0.961465	0.961483
54 	38    	0.96147 	6.81715e-06	0.961465	0.961489
55 	33    	0.961477	6.98886e-06	0.961465	0.961489
56 	43    	0.961483	5.17566e-06	0.961469	0.961489
57 	35    	0.961486	2.64309e-06	0.961481	0.961489
58 	32    	0.961489	4.58022e-06	0.961483	0.961521
59 	38    	0.96149 	6.28654e-06	0.961488	0.961521
60 	37    	0.961494	1.05237e-05	0.961488	0.961521
61 	34    	0.961504	1.56305e-05	0.961489	0.961543
62 	35    	0.961517	1.14994e-05	0.961489	0.961543
63 	39    	0.961522	3.07478e-06	0.961521	0.961543
64 	36    	0.961313	0.00209026 	0.940516	0.961543
65 	35    	0.961528	6.5755e-06 	0.961521	0.961543
66 	35    	0.961532	9.32841e-06	0.961521	0.961566
67 	36    	0.961538	9.53777e-06	0.961525	0.961566
68 	29    	0.961547	1.08434e-05	0.961525	0.961567
69 	34    	0.961554	1.14405e-05	0.961543	0.961567
70 	30    	0.961564	8.04777e-06	0.961543	0.961575
71 	37    	0.961568	3.48476e-06	0.961562	0.961578
72 	35    	0.961571	4.87717e-06	0.961566	0.961589
73 	36    	0.961573	4.91597e-06	0.961567	0.961589
74 	35    	0.961577	4.84866e-06	0.961567	0.961589
75 	38    	0.96158 	5.59843e-06	0.961575	0.961589
76 	35    	0.961585	5.29396e-06	0.961575	0.961595
77 	44    	0.961589	4.08685e-06	0.961575	0.961601
78 	27    	0.961592	4.85293e-06	0.961581	0.961601
79 	41    	0.961596	4.95704e-06	0.961589	0.961601
80 	39    	0.9616  	2.51411e-06	0.961589	0.961601
81 	38    	0.961601	1.39042e-06	0.961589	0.961601
82 	34    	0.961601	6.18627e-08	0.961601	0.961601
83 	37    	0.961601	1.11022e-16	0.961601	0.961601
84 	34    	0.961601	1.11022e-16	0.961601	0.961601
85 	37    	0.961601	1.11022e-16	0.961601	0.961601
86 	30    	0.961601	5.86653e-06	0.961542	0.961601
87 	43    	0.961601	1.11022e-16	0.961601	0.961601
88 	41    	0.961601	1.11022e-16	0.961601	0.961601
89 	36    	0.961602	4.80969e-06	0.961601	0.961623
90 	37    	0.961603	6.31556e-06	0.961601	0.961623
91 	33    	0.961607	9.90867e-06	0.961601	0.961623
92 	31    	0.961613	1.09666e-05	0.961601	0.961623
93 	39    	0.961621	7.1104e-06 	0.961601	0.961623
94 	29    	0.961623	2.22045e-16	0.961623	0.961623
95 	37    	0.961623	2.22045e-16	0.961623	0.961623
96 	31    	0.961623	2.22045e-16	0.961623	0.961623
97 	36    	0.961623	5.47527e-07	0.961623	0.961626
98 	31    	0.961623	7.62252e-07	0.961623	0.961626
99 	37    	0.961624	1.00427e-06	0.961623	0.961626
100	38    	0.961625	1.58903e-06	0.961623	0.961626
101	41    	0.961623	2.91402e-05	0.961333	0.961626
102	38    	0.961626	1.11022e-16	0.961626	0.961626
103	36    	0.961626	1.11022e-16	0.961626	0.961626
104	34    	0.961626	1.11022e-16	0.961626	0.961626
105	37    	0.961626	1.11022e-16	0.961626	0.961626
106	30    	0.961626	1.11022e-16	0.961626	0.961626
107	34    	0.961626	1.11022e-16	0.961626	0.961626
108	35    	0.961626	1.11022e-16	0.961626	0.961626
109	37    	0.961626	1.11022e-16	0.961626	0.961626
110	36    	0.961626	1.11022e-16	0.961626	0.961626
111	36    	0.961626	1.11022e-16	0.961626	0.961626
112	33    	0.961626	1.11022e-16	0.961626	0.961626
113	35    	0.961626	1.11022e-16	0.961626	0.961626
114	37    	0.961627	6.47153e-07	0.961626	0.961633
115	29    	0.961627	6.28672e-07	0.961626	0.961633
116	35    	0.961591	0.000357723	0.958032	0.96166 
117	39    	0.961627	4.85892e-06	0.961626	0.96166 
118	33    	0.961629	6.9348e-06 	0.961626	0.96166 
119	35    	0.961633	1.11544e-05	0.961626	0.96166 
120	27    	0.961639	1.23749e-05	0.961626	0.96166 
121	33    	0.961649	1.24226e-05	0.961626	0.96166 
122	40    	0.961658	6.52478e-06	0.961633	0.961662
123	35    	0.961661	2.19766e-06	0.96166 	0.961682
124	30    	0.961663	6.39459e-06	0.96166 	0.961688
125	37    	0.961666	9.86786e-06	0.96166 	0.961688
126	33    	0.961674	1.29902e-05	0.961634	0.961688
127	35    	0.961686	7.85862e-06	0.961661	0.961695
128	38    	0.961691	4.06149e-06	0.961688	0.96171 
129	32    	0.961694	4.41318e-06	0.961688	0.96171 
130	41    	0.961696	4.39118e-06	0.961688	0.961719
131	38    	0.961699	4.81152e-06	0.961694	0.961716
132	35    	0.961703	6.57804e-06	0.961695	0.961717
133	37    	0.961709	6.45439e-06	0.9617  	0.961723
134	37    	0.961714	5.32055e-06	0.961694	0.961723
135	36    	0.961719	3.574e-06  	0.96171 	0.961723
136	36    	0.961721	3.02912e-06	0.961717	0.961723
137	35    	0.961723	1.06172e-06	0.961717	0.961723
138	38    	0.961723	2.73203e-08	0.961723	0.961723
139	36    	0.961723	2.24216e-08	0.961723	0.961723
140	31    	0.961723	4.0863e-08 	0.961723	0.961723
141	33    	0.961723	2.56073e-07	0.961723	0.961725
142	37    	0.961723	5.02888e-07	0.961723	0.961725
143	43    	0.961723	7.51551e-07	0.961723	0.961725
144	31    	0.961724	8.01023e-07	0.961723	0.961725
145	34    	0.961725	4.70981e-07	0.961723	0.961725
146	31    	0.961725	2.22045e-16	0.961725	0.961725
147	35    	0.961725	2.22045e-16	0.961725	0.961725
148	36    	0.961725	2.22045e-16	0.961725	0.961725
149	34    	0.961725	2.22045e-16	0.961725	0.961725
150	29    	0.961725	2.22045e-16	0.961725	0.961725
151	33    	0.961725	2.22045e-16	0.961725	0.961725
152	32    	0.961725	2.22045e-16	0.961725	0.961725
153	41    	0.961725	2.22045e-16	0.961725	0.961725
154	38    	0.961725	2.22045e-16	0.961725	0.961725
155	37    	0.961726	6.87915e-06	0.961725	0.961774
156	34    	0.961727	1.07091e-05	0.961725	0.961774
157	37    	0.961732	1.8274e-05 	0.961725	0.961801
158	37    	0.961742	2.63284e-05	0.961725	0.961801
159	37    	0.961681	0.00072437 	0.954479	0.961801
160	36    	0.961778	2.19465e-05	0.961725	0.961805
161	36    	0.961794	1.31784e-05	0.961725	0.961805
162	30    	0.961801	4.07814e-06	0.961774	0.961805
163	33    	0.961803	2.75827e-06	0.961801	0.961819
164	33    	0.961805	4.90627e-06	0.961801	0.961819
165	27    	0.961808	6.61007e-06	0.961802	0.961822
166	34    	0.961813	7.30284e-06	0.961805	0.961823
167	35    	0.96182 	3.95024e-06	0.961805	0.961825
168	39    	0.961822	4.9739e-06 	0.961819	0.961855
169	35    	0.961826	7.78367e-06	0.961819	0.961855
170	36    	0.961833	1.07563e-05	0.961821	0.961855
171	34    	0.961843	8.53632e-06	0.961825	0.961855
172	35    	0.961849	6.67321e-06	0.961839	0.96186 
173	31    	0.961853	5.06224e-06	0.961839	0.96186 
174	29    	0.961857	2.44672e-06	0.961845	0.961861
175	35    	0.961858	2.36165e-06	0.961855	0.961861
176	33    	0.96186 	1.68582e-06	0.961855	0.961863
177	43    	0.961861	1.01464e-06	0.961858	0.961863
178	39    	0.961862	1.5221e-06 	0.96186 	0.961868
179	38    	0.961864	2.37723e-06	0.961861	0.961868
180	39    	0.961833	0.000321954	0.958629	0.961868
181	37    	0.961867	1.38904e-06	0.961863	0.961868
182	37    	0.961833	0.000353705	0.958314	0.961885
183	29    	0.96187 	6.54069e-06	0.961868	0.961898
184	35    	0.961875	9.00375e-06	0.961868	0.961895
185	37    	0.961881	1.08331e-05	0.961822	0.961901
186	38    	0.961887	6.35565e-06	0.961868	0.961901
187	39    	0.961985	0.000534481	0.961885	0.965024
188	37    	0.961989	0.000533715	0.961885	0.965024
189	31    	0.962019	0.0007831  	0.958207	0.965048
190	33    	0.962214	0.000939886	0.961895	0.965048
191	35    	0.962655	0.00134091 	0.961895	0.965048
192	31    	0.963628	0.00156191 	0.961901	0.965048
