# INITIALIZATION
Counter({'TN': 386, 'TP': 224, 'FP': 15, 'FN': 4})
# Initial Accuracy: 0.969793322734
# Initial MCC: 0.935972275027
# Minimal variation in Mu: -0.179791891718
# Min in Mu: [-0.06005575]
# Min variation in initial S: 1.84924921727e-05
gen	nevals	avg     	std      	min     	max     
0  	100   	0.912724	0.0115498	0.885317	0.938524
1  	30    	0.922964	0.00805202	0.900402	0.938524
2  	34    	0.930133	0.00556243	0.917099	0.938524
3  	37    	0.933994	0.00385228	0.923614	0.944755
4  	37    	0.936879	0.00353551	0.928021	0.944755
5  	37    	0.939223	0.00315439	0.928619	0.944755
6  	30    	0.942178	0.00314416	0.934641	0.951674
7  	39    	0.944305	0.00268684	0.938524	0.951674
8  	38    	0.946189	0.00288525	0.941246	0.951704
9  	35    	0.948226	0.00322801	0.944755	0.951801
10 	38    	0.950362	0.0024551 	0.944755	0.951885
11 	27    	0.951526	0.000920339	0.945019	0.951885
12 	33    	0.95178 	7.27622e-05	0.951674	0.951885
13 	27    	0.951833	5.6021e-05 	0.951674	0.951885
14 	34    	0.951866	3.23967e-05	0.951801	0.951885
15 	33    	0.951883	1.33711e-05	0.951801	0.951935
16 	39    	0.951886	5.82839e-06	0.951885	0.951935
17 	39    	0.951888	1.05566e-05	0.951885	0.951935
18 	35    	0.951893	1.51121e-05	0.951885	0.951935
19 	34    	0.951902	1.8502e-05 	0.951885	0.951935
20 	31    	0.951946	0.000325917	0.951893	0.955184
21 	34    	0.951992	0.000456266	0.951893	0.955184
22 	38    	0.952023	0.000494469	0.951901	0.955184
23 	37    	0.952178	0.000810088	0.951901	0.955184
24 	38    	0.95253 	0.00117051 	0.951935	0.955184
25 	32    	0.953553	0.00145783 	0.951935	0.955184
26 	40    	0.954565	0.00106998 	0.951958	0.955184
27 	40    	0.955057	0.000467773	0.951958	0.955361
28 	35    	0.955194	8.66076e-05	0.95469 	0.955361
29 	34    	0.955241	8.24642e-05	0.955184	0.955361
30 	34    	0.955311	7.9409e-05 	0.955184	0.955361
31 	36    	0.955354	3.46582e-05	0.955184	0.955361
32 	32    	0.955511	0.000655879	0.955361	0.95837 
33 	44    	0.955722	0.000977932	0.955361	0.95837 
34 	33    	0.956053	0.00126631 	0.955361	0.95837 
35 	34    	0.956956	0.00150012 	0.955361	0.95837 
36 	38    	0.957947	0.0010415  	0.955361	0.95837 
37 	38    	0.958368	1.96115e-05	0.958173	0.95837 
38 	32    	0.95837 	0          	0.95837 	0.95837 
39 	31    	0.95837 	0          	0.95837 	0.95837 
40 	33    	0.958371	3.08165e-06	0.95837 	0.958392
41 	33    	0.958372	5.76086e-06	0.95837 	0.958392
42 	33    	0.958375	8.35936e-06	0.95837 	0.958392
43 	37    	0.958344	0.000356285	0.954801	0.958393
44 	34    	0.958388	7.78431e-06	0.95837 	0.958392
45 	36    	0.958358	0.000337825	0.954997	0.958402
46 	37    	0.958393	1.81025e-06	0.958392	0.958402
47 	30    	0.958394	3.43762e-06	0.958392	0.958405
48 	31    	0.958395	4.33509e-06	0.958392	0.958405
49 	30    	0.958398	5.23457e-06	0.958392	0.958405
50 	36    	0.958402	3.60337e-06	0.958392	0.958405
51 	30    	0.958404	1.67826e-06	0.958401	0.958405
52 	35    	0.958406	4.47216e-06	0.958402	0.958431
53 	39    	0.958407	7.32243e-06	0.958405	0.958434
54 	35    	0.958411	1.11126e-05	0.958405	0.958434
55 	31    	0.958418	1.35555e-05	0.958405	0.958434
56 	39    	0.958427	1.10249e-05	0.958405	0.958443
57 	34    	0.958435	1.0675e-05 	0.958406	0.958489
58 	42    	0.958439	1.42335e-05	0.958431	0.95849 
59 	37    	0.958446	1.84074e-05	0.958434	0.95849 
60 	33    	0.958462	2.34231e-05	0.958434	0.95849 
61 	40    	0.958479	1.82599e-05	0.958443	0.958498
62 	36    	0.958489	7.07724e-06	0.958443	0.958498
63 	28    	0.958491	2.84949e-06	0.958489	0.958498
64 	40    	0.958493	4.04486e-06	0.958489	0.9585  
65 	38    	0.958496	4.05173e-06	0.95849 	0.9585  
66 	30    	0.958499	2.41026e-06	0.95849 	0.958505
67 	31    	0.9585  	1.89455e-06	0.958498	0.958505
68 	30    	0.958501	2.18582e-06	0.958498	0.958512
69 	37    	0.958503	3.36337e-06	0.9585  	0.958515
70 	37    	0.958471	0.000355117	0.954938	0.958519
71 	39    	0.958509	5.37862e-06	0.958505	0.958518
72 	36    	0.958514	4.8149e-06 	0.958505	0.958518
73 	42    	0.958517	2.30036e-06	0.958505	0.958519
74 	38    	0.958518	5.10646e-07	0.958515	0.958519
75 	39    	0.958519	2.56551e-07	0.958518	0.958519
76 	35    	0.958519	3.11316e-07	0.958518	0.958519
