# INITIALIZATION
Counter({'TP': 124, 'TN': 82, 'FP': 25, 'FN': 12})
# Initial Accuracy: 0.847736625514
# Initial MCC: 0.691211152557
# Minimal variation in Mu: -0.12253588544
# Min in Mu: [-0.05541708]
# Min variation in initial S: 6.53119483148e-05
gen	nevals	avg     	std      	min     	max     
0  	200   	0.690122	0.0248288	0.620833	0.747387
1  	33    	0.709555	0.0167848	0.67522 	0.747387
2  	40    	0.722051	0.0131925	0.686117	0.747387
3  	35    	0.732696	0.0114062	0.686117	0.757494
4  	26    	0.741569	0.0092237	0.714719	0.757494
5  	37    	0.749521	0.00760261	0.730786	0.772453
6  	35    	0.7559  	0.00621095	0.742791	0.772453
7  	39    	0.759362	0.00545077	0.747387	0.772453
8  	34    	0.762694	0.00654909	0.749621	0.780716
9  	29    	0.768918	0.00651384	0.757494	0.780786
10 	39    	0.773664	0.00439075	0.763722	0.784771
11 	33    	0.776134	0.00409666	0.772329	0.784771
12 	31    	0.779137	0.00379261	0.772329	0.784771
13 	36    	0.781678	0.00267002	0.772416	0.79265 
14 	33    	0.783988	0.00350711	0.780786	0.797251
15 	31    	0.786386	0.00374516	0.780786	0.797251
16 	35    	0.789015	0.00471875	0.770776	0.797251
17 	40    	0.793089	0.00388713	0.784238	0.801777
18 	37    	0.795549	0.00299239	0.788939	0.801777
19 	35    	0.797311	0.00263611	0.79265 	0.801777
20 	31    	0.799073	0.00229113	0.79265 	0.801777
21 	38    	0.800267	0.00211777	0.797251	0.801777
22 	37    	0.801668	0.000649147	0.797251	0.801779
23 	29    	0.801925	0.00103521 	0.801777	0.809171
24 	35    	0.802073	0.00144894 	0.801777	0.809171
25 	36    	0.802369	0.0020058  	0.801777	0.809171
26 	28    	0.802818	0.0025752  	0.801777	0.809389
27 	38    	0.804306	0.00352106 	0.801779	0.809389
28 	35    	0.806935	0.00345655 	0.801779	0.809418
29 	31    	0.80901 	0.00147905 	0.801779	0.809418
30 	33    	0.809376	6.45601e-05	0.809171	0.809418
31 	34    	0.809409	1.24451e-05	0.809389	0.809424
32 	35    	0.809416	7.3846e-06 	0.809389	0.809424
33 	33    	0.809419	3.45569e-06	0.809391	0.809424
34 	36    	0.809421	2.99312e-06	0.809418	0.809431
35 	37    	0.809424	5.29253e-06	0.809418	0.809467
36 	35    	0.809427	6.72097e-06	0.809424	0.809467
37 	35    	0.809431	7.47334e-06	0.809424	0.809467
38 	33    	0.809588	0.00105828 	0.809424	0.816995
39 	39    	0.809908	0.00181274 	0.809431	0.817168
40 	35    	0.81053 	0.00262529 	0.80907 	0.817168
41 	29    	0.812359	0.00364368 	0.809431	0.817324
42 	35    	0.814731	0.00348513 	0.809425	0.817324
43 	34    	0.816684	0.00180561 	0.809467	0.817324
44 	36    	0.817128	0.000762341	0.809578	0.817324
45 	39    	0.817261	7.21934e-05	0.817168	0.817324
46 	31    	0.817317	2.6899e-05 	0.817168	0.817324
47 	35    	0.817324	0          	0.817324	0.817324
48 	27    	0.817324	0          	0.817324	0.817324
49 	39    	0.817324	0          	0.817324	0.817324
50 	30    	0.817324	0          	0.817324	0.817324
51 	36    	0.817324	0          	0.817324	0.817324
52 	31    	0.8174  	0.000761446	0.817324	0.824976
53 	33    	0.8174  	0.000761446	0.817324	0.824976
54 	35    	0.817553	0.00130547 	0.817324	0.824976
55 	39    	0.817937	0.00208097 	0.817324	0.825117
56 	38    	0.819472	0.00344524 	0.817324	0.825117
57 	32    	0.821313	0.00383329 	0.817324	0.825117
58 	34    	0.823701	0.0028869  	0.817308	0.825117
59 	32    	0.824802	0.00131673 	0.817324	0.825117
60 	34    	0.824989	0.000936816	0.815681	0.825117
61 	36    	0.825111	2.00866e-05	0.825013	0.825125
62 	40    	0.825117	5.65513e-06	0.825065	0.825125
63 	29    	0.825118	1.98019e-06	0.825117	0.825125
64 	34    	0.82512 	2.76851e-06	0.825117	0.825127
65 	41    	0.825122	2.87372e-06	0.825117	0.825127
66 	39    	0.825124	1.94255e-06	0.825119	0.825127
67 	27    	0.825126	1.29508e-06	0.825122	0.825127
68 	31    	0.825126	1.22563e-06	0.825125	0.825127
69 	35    	0.825127	6.65053e-07	0.825125	0.825127
70 	36    	0.825127	2.22045e-16	0.825127	0.825127
71 	35    	0.825127	2.22045e-16	0.825127	0.825127
72 	35    	0.825138	0.000110966	0.825127	0.826242
73 	31    	0.825138	0.000110966	0.825127	0.826242
74 	36    	0.825172	0.000218543	0.825127	0.826242
75 	39    	0.825194	0.000264857	0.825127	0.826242
76 	41    	0.825216	0.00030256 	0.825127	0.826242
77 	35    	0.825724	0.00178635 	0.825127	0.834191
78 	32    	0.827258	0.00340828 	0.825127	0.834267
