# INITIALIZATION
Counter({'TP': 124, 'TN': 82, 'FP': 25, 'FN': 12})
# Initial Accuracy: 0.847736625514
# Initial MCC: 0.691211152557
# Minimal variation in Mu: -0.12253588544
# Min in Mu: [-0.05541708]
# Min variation in initial S: 6.53119483148e-05
gen	nevals	avg     	std      	min     	max    
0  	200   	0.690463	0.0270305	0.602773	0.75565
1  	38    	0.712592	0.0182411	0.680162	0.75565
2  	31    	0.731243	0.0141137	0.693769	0.765091
3  	38    	0.740787	0.0109444	0.713714	0.765091
4  	37    	0.748728	0.00781363	0.722411	0.765091
5  	37    	0.755111	0.00719099	0.738973	0.781751
6  	34    	0.760245	0.00737414	0.748471	0.782394
7  	39    	0.766491	0.00754332	0.755634	0.782394
8  	34    	0.772153	0.00794766	0.755668	0.789405
9  	36    	0.778282	0.00679758	0.765091	0.797617
10 	40    	0.782143	0.00751061	0.748993	0.806454
11 	28    	0.786372	0.00805532	0.774557	0.806454
12 	27    	0.793835	0.00966093	0.781751	0.806454
13 	30    	0.802962	0.00571986	0.780809	0.806727
14 	34    	0.805705	0.0034333 	0.780809	0.81498 
15 	30    	0.807432	0.00266365	0.806454	0.815042
16 	31    	0.809281	0.00392805	0.806454	0.815042
17 	36    	0.812021	0.00398883	0.806454	0.815044
18 	34    	0.814281	0.00237134	0.806454	0.815044
19 	39    	0.815038	1.11387e-05	0.81498 	0.815044
20 	33    	0.815042	6.26433e-07	0.815042	0.815044
21 	36    	0.815042	8.61486e-07	0.815042	0.815044
22 	37    	0.815043	9.19352e-07	0.815042	0.815044
23 	40    	0.815044	2.66547e-06	0.815042	0.81507 
24 	38    	0.815044	3.63568e-06	0.815042	0.81507 
25 	33    	0.814882	0.00160573 	0.798907	0.81507 
26 	28    	0.815047	8.97457e-06	0.815044	0.81507 
27 	28    	0.815049	1.07142e-05	0.815044	0.81507 
28 	37    	0.815059	1.27209e-05	0.815044	0.81507 
29 	28    	0.815067	7.40188e-06	0.815044	0.81507 
30 	32    	0.815228	0.00110911 	0.81507 	0.822992
31 	37    	0.815466	0.00172661 	0.81507 	0.822992
32 	36    	0.816185	0.00276616 	0.81507 	0.823576
33 	39    	0.818738	0.00397582 	0.81507 	0.82367 
34 	35    	0.821749	0.00302999 	0.81507 	0.82367 
35 	37    	0.823058	0.00116964 	0.81507 	0.82367 
36 	35    	0.823396	0.000270129	0.822992	0.823672
37 	39    	0.823596	0.000148149	0.82308 	0.823672
38 	38    	0.823656	6.25275e-05	0.823087	0.823672
39 	30    	0.82367 	2.68604e-06	0.823654	0.823672
40 	33    	0.823589	0.000810814	0.815522	0.823672
41 	37    	0.823672	2.14686e-06	0.82367 	0.823683
42 	38    	0.823673	3.04007e-06	0.82367 	0.823683
43 	34    	0.823674	4.58237e-06	0.823672	0.823683
44 	29    	0.823678	5.33137e-06	0.823672	0.823683
45 	40    	0.823681	4.01211e-06	0.823673	0.823683
46 	35    	0.823683	1.01758e-06	0.823673	0.823683
47 	32    	0.823683	2.22045e-16	0.823683	0.823683
48 	33    	0.823683	2.22045e-16	0.823683	0.823683
49 	35    	0.823683	2.22045e-16	0.823683	0.823683
50 	36    	0.823683	2.22045e-16	0.823683	0.823683
51 	34    	0.823683	2.22045e-16	0.823683	0.823683
52 	35    	0.823683	2.22045e-16	0.823683	0.823683
53 	34    	0.823683	2.22045e-16	0.823683	0.823683
54 	37    	0.823683	2.22045e-16	0.823683	0.823683
55 	33    	0.823683	2.22045e-16	0.823683	0.823683
56 	34    	0.823683	2.22045e-16	0.823683	0.823683
57 	36    	0.823683	2.22045e-16	0.823683	0.823683
58 	33    	0.823683	2.22045e-16	0.823683	0.823683
59 	31    	0.823683	2.22045e-16	0.823683	0.823683
60 	39    	0.823683	2.22045e-16	0.823683	0.823683
61 	30    	0.823683	2.22045e-16	0.823683	0.823683
62 	35    	0.823683	2.22045e-16	0.823683	0.823683
63 	33    	0.823683	2.22045e-16	0.823683	0.823683
64 	38    	0.824069	0.00169315 	0.823432	0.831449
65 	31    	0.824695	0.00261655 	0.823683	0.831555
66 	44    	0.826021	0.00357022 	0.823683	0.831594
