# INITIALIZATION
Counter({'TP': 124, 'TN': 82, 'FP': 25, 'FN': 12})
# Initial Accuracy: 0.847736625514
# Initial MCC: 0.691211152557
# Minimal variation in Mu: -0.12253588544
# Min in Mu: [-0.05541708]
# Min variation in initial S: 6.53119483148e-05
gen	nevals	avg     	std      	min    	max     
0  	200   	0.692541	0.0249928	0.62752	0.756456
1  	38    	0.712889	0.0168365	0.665229	0.756456
2  	33    	0.725925	0.0143989	0.692604	0.756456
3  	39    	0.733743	0.012749 	0.713119	0.756456
4  	32    	0.745689	0.0116126	0.714101	0.764059
5  	27    	0.754305	0.00567033	0.738509	0.765192
6  	32    	0.758289	0.00427802	0.747496	0.781761
7  	35    	0.76074 	0.00512457	0.755536	0.781761
8  	36    	0.763752	0.00500222	0.756456	0.781761
9  	34    	0.766776	0.00527929	0.756456	0.781761
10 	35    	0.768665	0.0056955 	0.748426	0.781761
11 	34    	0.77296 	0.00498288	0.764059	0.781761
12 	34    	0.776586	0.00426449	0.765192	0.781761
13 	37    	0.779457	0.00408585	0.772437	0.789192
14 	32    	0.782332	0.00347887	0.773085	0.789192
15 	36    	0.785778	0.00489485	0.780867	0.798273
16 	36    	0.789966	0.00473622	0.780921	0.798273
17 	36    	0.792561	0.00427012	0.788932	0.798273
18 	29    	0.796537	0.00443008	0.789192	0.806451
19 	34    	0.798901	0.00335152	0.789196	0.806451
20 	34    	0.800216	0.00344976	0.798032	0.806477
21 	32    	0.802492	0.00403706	0.798273	0.806545
22 	25    	0.805369	0.00272445	0.798273	0.806545
23 	33    	0.806242	0.00214245	0.798311	0.814614
24 	35    	0.807335	0.00241982	0.806477	0.814738
25 	38    	0.808967	0.00387062	0.798399	0.814771
26 	35    	0.810349	0.00401607	0.806539	0.814771
27 	35    	0.812944	0.0032828 	0.806545	0.814771
28 	37    	0.814496	0.00112904	0.806608	0.814771
29 	37    	0.814803	0.000861714	0.814614	0.823346
30 	36    	0.815297	0.00214224 	0.814614	0.824184
31 	33    	0.816124	0.00322559 	0.814771	0.824184
32 	35    	0.817478	0.00414076 	0.814771	0.824184
33 	39    	0.82082 	0.00440916 	0.814771	0.83221 
34 	37    	0.823703	0.00266172 	0.814661	0.83221 
35 	38    	0.824824	0.00217858 	0.823346	0.83221 
36 	29    	0.825816	0.00320946 	0.824184	0.832306
37 	32    	0.828397	0.00400352 	0.824198	0.832317
38 	40    	0.830895	0.00302281 	0.824199	0.832317
39 	32    	0.83221 	0.000802813	0.824231	0.832329
40 	38    	0.832314	1.33057e-05	0.83221 	0.832329
41 	35    	0.832321	5.81974e-06	0.832303	0.832329
42 	40    	0.832335	8.04206e-05	0.832317	0.833132
43 	34    	0.832349	0.000112027	0.832318	0.833132
44 	42    	0.832364	0.000141314	0.832329	0.833231
45 	34    	0.832445	0.000268355	0.832331	0.833251
46 	35    	0.832586	0.000379027	0.832343	0.833303
47 	35    	0.832864	0.000420897	0.832344	0.833303
48 	40    	0.833183	0.00021739 	0.832345	0.833315
49 	33    	0.833279	3.96467e-05	0.833132	0.833323
50 	33    	0.833141	0.00159834 	0.817239	0.833323
51 	33    	0.83331 	6.77481e-06	0.8333  	0.833323
52 	35    	0.833316	5.6611e-06 	0.833303	0.833323
53 	29    	0.83332 	3.86745e-06	0.833315	0.833323
54 	30    	0.833323	1.44682e-06	0.833315	0.833323
55 	37    	0.833323	2.16686e-07	0.833321	0.833323
56 	35    	0.833323	2.22045e-16	0.833323	0.833323
57 	32    	0.833323	2.22045e-16	0.833323	0.833323
58 	41    	0.833323	2.22045e-16	0.833323	0.833323
59 	40    	0.833323	2.22045e-16	0.833323	0.833323
60 	36    	0.833323	2.22045e-16	0.833323	0.833323
61 	34    	0.833323	2.22045e-16	0.833323	0.833323
62 	28    	0.833323	2.22045e-16	0.833323	0.833323
63 	34    	0.833323	2.22045e-16	0.833323	0.833323
64 	38    	0.833323	2.22045e-16	0.833323	0.833323
65 	37    	0.833323	2.22045e-16	0.833323	0.833323
66 	37    	0.833323	2.22045e-16	0.833323	0.833323
67 	31    	0.833323	2.22045e-16	0.833323	0.833323
