# INITIALIZATION
Counter({'TP': 5249, 'TN': 4057, 'FP': 358, 'FN': 285})
# Initial Accuracy: 0.935370388984
# Initial MCC: 0.868961748654
# Minimal variation in Mu: -0.0128823093691
# Min in Mu: [-0.01058709]
# Min variation in initial S: 1.26302681924e-08
gen	nevals	avg    	std       	min     	max     
0  	100   	0.86727	0.00184918	0.862647	0.872063
1  	35    	0.868906	0.00134956	0.86593 	0.872256
2  	37    	0.870092	0.000986622	0.867532	0.872256
3  	27    	0.870664	0.0007068  	0.868761	0.872256
4  	34    	0.87115 	0.00059774 	0.86926 	0.872256
5  	37    	0.871614	0.000503193	0.870221	0.872256
6  	37    	0.872073	0.000355782	0.871224	0.872842
7  	37    	0.872428	0.000328403	0.871622	0.873507
8  	35    	0.872669	0.000330017	0.872256	0.873903
9  	33    	0.872912	0.000368633	0.872256	0.873903
10 	33    	0.873139	0.000430479	0.87284 	0.873903
11 	36    	0.873362	0.000463985	0.872842	0.873903
12 	39    	0.873716	0.000312745	0.872866	0.873906
13 	36    	0.873905	4.49239e-05	0.873697	0.874105
14 	30    	0.873921	5.77235e-05	0.873903	0.874105
15 	35    	0.873957	9.97102e-05	0.873903	0.874283
16 	34    	0.874013	0.000118348	0.873903	0.874283
17 	34    	0.874101	0.000120853	0.873903	0.87431 
18 	37    	0.874209	9.56052e-05	0.873906	0.87431 
19 	35    	0.874254	7.54797e-05	0.874105	0.87431 
20 	38    	0.874301	6.27874e-05	0.874105	0.874711
21 	36    	0.874315	7.05202e-05	0.874283	0.874711
22 	35    	0.87432 	8.98094e-05	0.873896	0.874711
23 	41    	0.874346	0.000125142	0.87431 	0.874916
24 	37    	0.874412	0.000205907	0.87431 	0.874916
25 	33    	0.874552	0.000254622	0.87431 	0.874916
26 	35    	0.874754	0.000209087	0.87431 	0.874916
27 	38    	0.874866	0.000115773	0.87431 	0.874916
28 	39    	0.874914	4.47657e-05	0.874711	0.875109
29 	33    	0.874941	6.48231e-05	0.874916	0.875109
30 	29    	0.874974	8.833e-05  	0.874916	0.875109
31 	27    	0.875051	8.833e-05  	0.874916	0.875109
32 	39    	0.875102	3.79571e-05	0.874916	0.875121
33 	38    	0.87511 	4.13328e-06	0.875109	0.875121
34 	39    	0.875126	7.11934e-05	0.875109	0.875529
35 	33    	0.875168	0.000133378	0.875109	0.875529
36 	34    	0.875268	0.00019569 	0.875109	0.875529
