# INITIALIZATION
Counter({'TP': 5249, 'TN': 4057, 'FP': 358, 'FN': 285})
# Initial Accuracy: 0.935370388984
# Initial MCC: 0.868961748654
# Minimal variation in Mu: -0.0128823093691
# Min in Mu: [-0.01058709]
# Min variation in initial S: 1.26302681924e-08
gen	nevals	avg     	std      	min     	max     
0  	100   	0.867148	0.0019718	0.862846	0.872053
1  	39    	0.868879	0.00164525	0.864679	0.872289
2  	32    	0.870459	0.00144287	0.866341	0.872692
3  	32    	0.871676	0.00094659	0.868756	0.873286
4  	42    	0.8723  	0.000643733	0.870271	0.873485
5  	33    	0.872719	0.000404473	0.87189 	0.873485
6  	38    	0.873066	0.000456455	0.872053	0.874898
7  	37    	0.873395	0.000455061	0.872692	0.874898
8  	34    	0.873755	0.000550657	0.87306 	0.875103
9  	40    	0.874151	0.000664682	0.873485	0.875112
10 	33    	0.874805	0.000402138	0.873491	0.875536
11 	32    	0.875035	0.000161465	0.874488	0.875719
12 	38    	0.875159	0.000210572	0.874898	0.876126
13 	33    	0.875305	0.000308359	0.875103	0.876331
14 	35    	0.875478	0.000368248	0.875103	0.876331
15 	37    	0.875771	0.000372339	0.875103	0.876331
16 	38    	0.876051	0.00026044 	0.875331	0.876331
17 	31    	0.876213	0.000128748	0.875536	0.876331
18 	35    	0.876315	5.56668e-05	0.876126	0.876331
19 	37    	0.876331	8.51879e-11	0.876331	0.876331
20 	35    	0.876331	4.4212e-11 	0.876331	0.876331
21 	40    	0.876375	0.000244601	0.876331	0.877765
22 	39    	0.876432	0.00036585 	0.876331	0.877765
23 	38    	0.876604	0.000562512	0.876331	0.877765
24 	29    	0.876702	0.000609507	0.876331	0.877765
25 	37    	0.87704 	0.000682175	0.876331	0.877765
26 	33    	0.877497	0.000522911	0.876331	0.877765
27 	34    	0.877763	2.01166e-05	0.877563	0.877765
28 	32    	0.877765	1.11022e-16	0.877765	0.877765
29 	34    	0.877765	1.11022e-16	0.877765	0.877765
30 	44    	0.877765	1.11022e-16	0.877765	0.877765
31 	38    	0.877765	1.11022e-16	0.877765	0.877765
32 	29    	0.877765	1.11022e-16	0.877765	0.877765
33 	33    	0.877765	1.11022e-16	0.877765	0.877765
