# INITIALIZATION
Counter({'TP': 5249, 'TN': 4057, 'FP': 358, 'FN': 285})
# Initial Accuracy: 0.935370388984
# Initial MCC: 0.868961748654
# Minimal variation in Mu: -0.0128823093691
# Min in Mu: [-0.01058709]
# Min variation in initial S: 1.26302681924e-08
gen	nevals	avg     	std       	min     	max     
0  	100   	0.866815	0.00174873	0.861433	0.870845
1  	34    	0.868195	0.00137775	0.865293	0.870845
2  	38    	0.869409	0.000828806	0.866922	0.871206
3  	33    	0.870138	0.000812781	0.868594	0.872439
4  	38    	0.870871	0.000813932	0.869172	0.872439
5  	41    	0.871438	0.00066547 	0.869788	0.872439
6  	42    	0.871866	0.000640917	0.869581	0.873248
7  	41    	0.872349	0.000359583	0.871001	0.873248
8  	39    	0.872515	0.000223167	0.871643	0.873248
9  	37    	0.872704	0.000287978	0.872238	0.873463
10 	37    	0.872939	0.000425683	0.872033	0.874074
11 	36    	0.873281	0.00042431 	0.872439	0.874074
12 	39    	0.873583	0.000354023	0.872849	0.874074
13 	37    	0.873825	0.000253682	0.873248	0.874074
14 	32    	0.873982	0.000141301	0.873248	0.874476
15 	37    	0.874091	0.000167766	0.873875	0.874884
16 	34    	0.874183	0.000263878	0.873668	0.875496
17 	34    	0.874307	0.000338012	0.873875	0.875496
18 	34    	0.874557	0.000367711	0.874074	0.875496
19 	38    	0.874784	0.000323712	0.87408 	0.875496
20 	32    	0.874955	0.000258117	0.874476	0.875496
21 	39    	0.875093	0.000232062	0.874481	0.875496
22 	36    	0.875326	0.00017602 	0.874886	0.875496
23 	40    	0.875462	8.61017e-05	0.87509 	0.875496
24 	33    	0.875494	2.00354e-05	0.875295	0.875496
25 	43    	0.875496	2.78991e-11	0.875496	0.875496
26 	30    	0.875496	3.11642e-11	0.875496	0.875496
27 	36    	0.875496	2.09454e-11	0.875496	0.875496
28 	34    	0.875496	8.07761e-12	0.875496	0.875496
29 	34    	0.875496	6.99068e-12	0.875496	0.875496
30 	38    	0.875496	7.75943e-12	0.875496	0.875496
31 	38    	0.875496	5.94995e-12	0.875496	0.875496
32 	33    	0.875496	1.72969e-12	0.875496	0.875496
33 	38    	0.875496	4.11469e-13	0.875496	0.875496
34 	30    	0.875496	1.11022e-16	0.875496	0.875496
35 	32    	0.875496	1.11022e-16	0.875496	0.875496
36 	38    	0.875496	1.11022e-16	0.875496	0.875496
37 	35    	0.875505	8.14744e-05	0.875496	0.876315
38 	33    	0.875496	1.11022e-16	0.875496	0.875496
39 	39    	0.875496	1.11022e-16	0.875496	0.875496
40 	40    	0.875496	1.11022e-16	0.875496	0.875496
41 	33    	0.875496	1.11022e-16	0.875496	0.875496
42 	37    	0.875496	1.11022e-16	0.875496	0.875496
43 	35    	0.875496	1.11022e-16	0.875496	0.875496
44 	32    	0.875496	1.11022e-16	0.875496	0.875496
45 	34    	0.875496	1.11022e-16	0.875496	0.875496
46 	35    	0.875496	1.11022e-16	0.875496	0.875496
47 	35    	0.875496	1.11022e-16	0.875496	0.875496
48 	34    	0.875496	1.11022e-16	0.875496	0.875496
49 	32    	0.875496	1.11022e-16	0.875496	0.875496
50 	37    	0.875496	1.11022e-16	0.875496	0.875496
51 	30    	0.875496	1.11022e-16	0.875496	0.875496
52 	35    	0.875496	1.11022e-16	0.875496	0.875496
53 	37    	0.875496	1.11022e-16	0.875496	0.875496
54 	40    	0.875496	1.11022e-16	0.875496	0.875496
55 	32    	0.875496	1.11022e-16	0.875496	0.875496
56 	36    	0.875496	1.11022e-16	0.875496	0.875496
57 	32    	0.875496	1.11022e-16	0.875496	0.875496
58 	34    	0.875496	1.11022e-16	0.875496	0.875496
