# INITIALIZATION
Counter({'TN': 170905, 'TP': 38533, 'FN': 6977, 'FP': 4136})
# Initial Accuracy: 0.949612561267
# Initial MCC: 0.843208222866
# Minimal variation in Mu: -0.0242295621757
# Min in Mu: [-0.0242295]
# Min variation in initial S: 0.0
gen	nevals	avg     	std      	min    	max     
0  	100   	0.256181	0.0418152	0.14556	0.351068
1  	37    	0.290543	0.0262275	0.227688	0.336018
2  	32    	0.314703	0.015694 	0.270142	0.351412
3  	30    	0.327866	0.00949893	0.309725	0.351412
4  	42    	0.339032	0.0113493 	0.323189	0.375169
5  	38    	0.349758	0.0126585 	0.329193	0.388091
6  	33    	0.358983	0.0110336 	0.336018	0.390838
7  	34    	0.370049	0.00869497	0.347655	0.39155 
8  	35    	0.376804	0.00722439	0.360668	0.397552
9  	36    	0.386587	0.0113602 	0.37129 	0.42547 
10 	29    	0.395086	0.0139338 	0.375169	0.42547 
11 	33    	0.406517	0.0139573 	0.382267	0.430844
12 	36    	0.416753	0.011422  	0.390838	0.448713
13 	33    	0.426782	0.00768107	0.411276	0.448713
14 	30    	0.43358 	0.00748908	0.418575	0.448713
15 	31    	0.440246	0.00566865	0.42513 	0.448724
16 	36    	0.446374	0.00486984	0.434008	0.461399
17 	41    	0.450921	0.00631203	0.440946	0.470266
18 	36    	0.456126	0.00715651	0.445879	0.479401
19 	39    	0.462344	0.00704003	0.44682 	0.479815
20 	44    	0.467117	0.00508582	0.451402	0.479815
21 	31    	0.470401	0.00403311	0.461399	0.479815
22 	39    	0.474215	0.00547615	0.468651	0.491809
23 	36    	0.479019	0.00621625	0.46461 	0.491809
24 	36    	0.484616	0.00559688	0.47601 	0.494045
25 	35    	0.489392	0.00451014	0.479815	0.495034
26 	33    	0.492331	0.00186925	0.480502	0.495336
27 	31    	0.494203	0.0028403 	0.491809	0.504294
28 	36    	0.496169	0.00335915	0.491809	0.504294
29 	37    	0.498352	0.00347551	0.49301 	0.504294
30 	41    	0.501329	0.00310284	0.494583	0.509358
