# INITIALIZATION
Counter({'TN': 170905, 'TP': 38533, 'FN': 6977, 'FP': 4136})
# Initial Accuracy: 0.949612561267
# Initial MCC: 0.843208222866
# Minimal variation in Mu: -0.0242295621757
# Min in Mu: [-0.0242295]
# Min variation in initial S: 0.0
gen	nevals	avg     	std      	min     	max     
0  	100   	0.255318	0.0389901	0.164655	0.362354
1  	35    	0.293171	0.0320536	0.222578	0.362354
2  	37    	0.324093	0.0245895	0.262744	0.380517
3  	34    	0.344727	0.0238563	0.302103	0.38262 
4  	34    	0.367638	0.0183424	0.321911	0.390796
5  	38    	0.383497	0.00737866	0.370016	0.412754
6  	32    	0.387706	0.00851822	0.380517	0.412754
7  	38    	0.396992	0.0104193 	0.380517	0.418906
8  	33    	0.406962	0.00878145	0.385133	0.418906
9  	36    	0.413632	0.00655735	0.393705	0.426645
10 	32    	0.418068	0.00405156	0.403648	0.428722
11 	38    	0.42229 	0.00395358	0.418129	0.433098
12 	35    	0.42749 	0.00585604	0.418129	0.445241
13 	38    	0.434725	0.00779624	0.418906	0.457144
14 	39    	0.441212	0.00719458	0.429139	0.457144
15 	33    	0.447586	0.00764734	0.432819	0.478558
16 	37    	0.452872	0.00808665	0.440644	0.478558
17 	32    	0.457924	0.00670798	0.445241	0.478558
18 	33    	0.463509	0.00850859	0.448827	0.478558
19 	38    	0.471717	0.00906239	0.454677	0.487725
20 	35    	0.47749 	0.00609797	0.459342	0.487725
21 	30    	0.482164	0.00432722	0.471248	0.501464
22 	36    	0.485733	0.00344542	0.478536	0.492958
23 	37    	0.489186	0.00398628	0.481284	0.510218
24 	35    	0.491413	0.00383498	0.487725	0.510218
25 	33    	0.494272	0.00422416	0.487725	0.510218
26 	34    	0.499309	0.005235  	0.49003 	0.513603
27 	33    	0.504425	0.00712136	0.493982	0.527763
28 	39    	0.510067	0.00850857	0.497369	0.530537
29 	33    	0.516594	0.00783081	0.499701	0.530537
30 	38    	0.525271	0.00600794	0.51131 	0.533417
31 	35    	0.530072	0.00281836	0.517386	0.534438
32 	29    	0.532361	0.00153944	0.52887 	0.535892
33 	31    	0.533394	0.00125376	0.530537	0.537992
34 	34    	0.535023	0.00174672	0.532932	0.538996
35 	35    	0.53669 	0.00168305	0.533417	0.539886
36 	38    	0.538654	0.00181907	0.535033	0.548236
37 	34    	0.540409	0.00280342	0.536634	0.548236
38 	42    	0.54278 	0.00369071	0.538571	0.551479
39 	33    	0.546396	0.00340842	0.539408	0.551479
40 	40    	0.54896 	0.00343118	0.542376	0.560226
41 	31    	0.551693	0.00365302	0.547713	0.560226
42 	42    	0.555793	0.00460888	0.548236	0.564848
43 	33    	0.55983 	0.00490712	0.551421	0.574283
44 	43    	0.563296	0.00441861	0.553013	0.577113
45 	33    	0.566753	0.0044978 	0.560226	0.577113
46 	38    	0.570604	0.00401815	0.563045	0.577113
47 	38    	0.57482 	0.00409861	0.56656 	0.592285
48 	27    	0.579236	0.00533663	0.574283	0.596072
49 	37    	0.58249 	0.0062773 	0.576882	0.596072
50 	43    	0.587772	0.00555541	0.577113	0.596729
51 	34    	0.591512	0.00310172	0.578538	0.598417
52 	36    	0.595205	0.00484276	0.589232	0.614985
