# INITIALIZATION
Counter({'TN': 12291, 'FN': 3452, 'FP': 3299, 'TP': 958})
# Initial Accuracy: 0.66245
# Initial MCC: 0.00569583794277
# Minimal variation in Mu: -0.0293911624763
# Min in Mu: [-0.0274027]
# Min variation in initial S: 3.60614751428e-09
gen	nevals	avg       	std       	min       	max      
0  	100   	0.00361433	0.00277041	-0.0044185	0.0106536
1  	39    	0.00579983	0.00225366	0.000275079	0.0106536
2  	43    	0.00763749	0.00170725	0.0042529  	0.0106536
3  	39    	0.00933589	0.00123879	0.00612731 	0.0113107
4  	36    	0.0103854 	0.000739293	0.00749521 	0.0117642
5  	32    	0.0109881 	0.000478146	0.0100158  	0.0116414
6  	37    	0.0114151 	0.00043879 	0.0103897  	0.0128272
7  	35    	0.0120724 	0.000826911	0.0108791  	0.0154561
8  	35    	0.0126784 	0.000851943	0.0114639  	0.0154561
9  	38    	0.0135886 	0.000986718	0.0118562  	0.0162313
10 	36    	0.0145356 	0.00104092 	0.0126552  	0.0166141
11 	37    	0.0155025 	0.000947055	0.0136993  	0.0166141
12 	34    	0.0163683 	0.000682394	0.0144126  	0.0183084
13 	37    	0.0168683 	0.000628338	0.0154561  	0.0183084
14 	36    	0.0173919 	0.000678096	0.0162313  	0.0183084
15 	34    	0.0179309 	0.000466692	0.016689   	0.0185492
16 	36    	0.0182946 	0.000193859	0.0176406  	0.0189234
17 	35    	0.0184102 	0.000157949	0.0179657  	0.0189234
18 	28    	0.0185481 	0.00019008 	0.0183084  	0.0189234
19 	42    	0.0187671 	0.000464034	0.0176694  	0.0204152
20 	33    	0.0191545 	0.00061966 	0.0185492  	0.0206057
21 	33    	0.0197176 	0.000810713	0.0186549  	0.0219963
22 	38    	0.0203215 	0.000713071	0.0188115  	0.0219963
23 	36    	0.020839  	0.000639216	0.0197242  	0.0223914
24 	41    	0.0213514 	0.000702365	0.0204152  	0.022596 
25 	31    	0.0219361 	0.000455394	0.0205501  	0.022596 
26 	37    	0.0222687 	0.00045677 	0.0205501  	0.023986 
27 	35    	0.0226247 	0.000409603	0.0219963  	0.023986 
28 	30    	0.0228722 	0.000371936	0.0219963  	0.023986 
29 	33    	0.0232076 	0.000391993	0.022596   	0.023986 
30 	32    	0.0234686 	0.00034519 	0.022596   	0.023986 
31 	38    	0.0237806 	0.000299334	0.02311    	0.0251737
32 	42    	0.0240466 	0.000303184	0.0234574  	0.0251737
33 	36    	0.0244452 	0.000493638	0.0237484  	0.025931 
34 	32    	0.0248936 	0.000548717	0.0241946  	0.0259985
35 	38    	0.0253823 	0.000494143	0.0241946  	0.026446 
36 	38    	0.0258585 	0.000447642	0.0248069  	0.0278895
37 	36    	0.026265  	0.000471768	0.0253361  	0.0278895
38 	31    	0.0268224 	0.00072992 	0.0258111  	0.0288858
39 	36    	0.0274282 	0.00071471 	0.0262137  	0.0288858
40 	33    	0.0279826 	0.000419134	0.0267536  	0.0288858
41 	33    	0.0281871 	0.000379213	0.0267728  	0.0288858
42 	35    	0.0284425 	0.000277946	0.0278895  	0.0288858
43 	37    	0.0286311 	0.000194665	0.0282534  	0.0291324
44 	36    	0.0288163 	0.00028152 	0.0284496  	0.029776 
45 	36    	0.0290473 	0.000315622	0.0286183  	0.029776 
46 	31    	0.0292753 	0.000384089	0.0288858  	0.029866 
47 	36    	0.0295396 	0.000307439	0.0288858  	0.029866 
48 	30    	0.0297876 	0.00028631 	0.0291324  	0.031485 
49 	37    	0.02988   	0.000298768	0.029776   	0.031485 
50 	31    	0.0300464 	0.000496496	0.0287122  	0.031485 
51 	38    	0.0303705 	0.000606342	0.029776   	0.0320387
52 	44    	0.0308172 	0.000643865	0.029776   	0.0320387
53 	39    	0.0313113 	0.000449777	0.0300278  	0.0320387
54 	35    	0.0315831 	0.000212123	0.0309069  	0.032313 
55 	33    	0.0318392 	0.000433034	0.031485   	0.0336277
56 	34    	0.03221   	0.0006005  	0.031485   	0.0336277
57 	33    	0.0326128 	0.000643301	0.031485   	0.0336277
58 	34    	0.0331426 	0.000534832	0.0318604  	0.0336737
59 	29    	0.033526  	0.000238173	0.0327502  	0.0336737
60 	40    	0.0336385 	3.1294e-05 	0.0336277  	0.0339038
61 	34    	0.0336692 	7.66872e-05	0.0336277  	0.0340452
62 	34    	0.0336968 	9.25822e-05	0.0336277  	0.0340452
63 	35    	0.0337624 	0.000145225	0.0336507  	0.0343198
64 	29    	0.0339589 	0.000235547	0.0336737  	0.034529 
65 	37    	0.0341403 	0.000243932	0.0336737  	0.0350584
66 	33    	0.0343555 	0.000202516	0.0339038  	0.0350584
67 	40    	0.0345144 	0.000170887	0.0342753  	0.0350584
68 	42    	0.0346656 	0.000234477	0.0343208  	0.0352487
69 	37    	0.0348989 	0.000227067	0.0344837  	0.0354525
70 	36    	0.0350969 	0.000215141	0.0345517  	0.036133 
71 	38    	0.0352452 	0.000246787	0.0347656  	0.036133 
72 	35    	0.0354697 	0.000281635	0.035067   	0.036133 
73 	37    	0.0357348 	0.000319379	0.0351367  	0.0366531
74 	28    	0.03603   	0.000325236	0.0353807  	0.0366531
75 	36    	0.0363155 	0.000286952	0.0357778  	0.0368685
76 	33    	0.0365853 	0.0002602  	0.0361225  	0.0376572
77 	35    	0.036738  	0.000378709	0.0341584  	0.0376572
78 	33    	0.0369182 	0.000305481	0.0366531  	0.0376572
79 	36    	0.0371629 	0.000343071	0.0366531  	0.0377189
80 	34    	0.0374795 	0.000234594	0.0368665  	0.0377189
81 	31    	0.0376339 	0.000156577	0.0367575  	0.0381919
82 	26    	0.0377574 	0.000171379	0.0375811  	0.0384744
83 	41    	0.037871  	0.000239609	0.0369336  	0.0384744
84 	35    	0.0380437 	0.000233752	0.0376572  	0.0386351
85 	37    	0.0382661 	0.000291381	0.0378712  	0.0390839
86 	36    	0.0385502 	0.000303412	0.0379534  	0.039344 
87 	37    	0.038838  	0.000316554	0.0381919  	0.0395219
88 	32    	0.0391132 	0.000271313	0.0383325  	0.0395757
89 	31    	0.039298  	0.000271293	0.0370495  	0.0397128
90 	33    	0.0394476 	0.000205579	0.0384186  	0.0399479
91 	38    	0.0396105 	0.00018232 	0.039344   	0.0401091
92 	30    	0.0397213 	0.000191832	0.039448   	0.0401091
93 	35    	0.0398716 	0.000163069	0.0395135  	0.0401091
94 	28    	0.0399855 	9.44203e-05	0.0397041  	0.0402294
95 	33    	0.0400522 	0.000106348	0.0398775  	0.0403815
96 	34    	0.0401373 	8.91506e-05	0.0399479  	0.040411 
97 	33    	0.0402295 	0.000129654	0.0400182  	0.0408537
98 	30    	0.0403152 	0.000168691	0.0399479  	0.0408537
99 	42    	0.0405057 	0.000301665	0.0401091  	0.0418212
100	34    	0.0408288 	0.000481312	0.0401091  	0.0418212
0.68245
0.0418212996683
