# INITIALIZATION
Counter({'TN': 12291, 'FN': 3452, 'FP': 3299, 'TP': 958})
# Initial Accuracy: 0.66245
# Initial MCC: 0.00569583794277
# Minimal variation in Mu: -0.0293911624763
# Min in Mu: [-0.0274027]
# Min variation in initial S: 3.60614751428e-09
gen	nevals	avg       	std       	min        	max       
0  	100   	0.00399647	0.00249146	-0.00225418	0.00956413
1  	31    	0.00584344	0.00176427	0.0027207  	0.00956413
2  	40    	0.0074442 	0.00147421	0.00363283 	0.00956413
3  	34    	0.00851988	0.00110665	0.00556439 	0.0105589 
4  	36    	0.00935487	0.000749226	0.00752472 	0.0118333 
5  	29    	0.00991759	0.000653128	0.00911267 	0.0116707 
6  	38    	0.0104561 	0.000882021	0.00956413 	0.0127814 
7  	39    	0.0112003 	0.000916181	0.00956413 	0.0134171 
8  	33    	0.0118634 	0.000686089	0.0104372  	0.0134171 
9  	33    	0.0125184 	0.00078924 	0.0114014  	0.0141047 
10 	27    	0.0132394 	0.000577634	0.0116707  	0.0141047 
11 	31    	0.0137521 	0.000464966	0.0132577  	0.0154786 
12 	37    	0.0140703 	0.000597703	0.0131786  	0.0154786 
13 	33    	0.0146659 	0.000608299	0.0135517  	0.0155654 
14 	35    	0.0150318 	0.0004637  	0.0141047  	0.0159176 
15 	39    	0.015439  	0.000340442	0.0141047  	0.0160657 
16 	35    	0.0157822 	0.000366626	0.0151161  	0.0172827 
17 	37    	0.0161752 	0.000595026	0.0155425  	0.0183058 
18 	35    	0.0165992 	0.000798328	0.0155654  	0.0183058 
19 	39    	0.0171031 	0.000822535	0.0160451  	0.0183058 
20 	37    	0.0176741 	0.000688074	0.0161338  	0.0184888 
21 	33    	0.0182163 	0.00033075 	0.0165955  	0.0188353 
22 	29    	0.0184267 	0.000294959	0.0173434  	0.0193717 
23 	38    	0.018648  	0.000382011	0.0183058  	0.01965   
24 	41    	0.0190283 	0.000354572	0.0182592  	0.01965   
25 	38    	0.0193199 	0.000194831	0.0188353  	0.01965   
26 	30    	0.0194587 	0.00015031 	0.0189665  	0.0200451 
27 	34    	0.019547  	0.000153376	0.0190977  	0.0200451 
28 	36    	0.0197089 	0.000181601	0.0193717  	0.0202026 
29 	35    	0.0198934 	0.000214982	0.0194566  	0.0203603 
30 	30    	0.020068  	0.000158856	0.01965    	0.0203882 
31 	30    	0.0202726 	0.000209771	0.0198798  	0.0209657 
32 	39    	0.0205119 	0.000248877	0.0201262  	0.0209657 
33 	34    	0.0208029 	0.000304479	0.0202383  	0.0214756 
34 	40    	0.0211835 	0.000415223	0.0203475  	0.0223453 
35 	27    	0.0215556 	0.000454403	0.0208939  	0.0223453 
36 	37    	0.0220435 	0.000395538	0.0213647  	0.0234161 
37 	33    	0.0223718 	0.000446102	0.0214756  	0.0238971 
38 	34    	0.0227928 	0.000593002	0.0218626  	0.0240689 
39 	35    	0.0232493 	0.000609512	0.0223453  	0.0240689 
40 	32    	0.023608  	0.000452349	0.0223453  	0.0240689 
41 	35    	0.023938  	0.000220816	0.0226913  	0.024681  
42 	40    	0.0240883 	0.000258484	0.0238116  	0.0250021 
43 	35    	0.0242927 	0.000357896	0.0238971  	0.0250886 
44 	37    	0.0245796 	0.000467148	0.0240036  	0.0257545 
45 	27    	0.0250103 	0.000538477	0.0229722  	0.0265235 
46 	28    	0.0254019 	0.000459137	0.024681   	0.0265334 
47 	33    	0.0257994 	0.000460489	0.024775   	0.0270879 
48 	32    	0.026179  	0.000372053	0.0250886  	0.0270879 
49 	34    	0.0265182 	0.000358593	0.0254194  	0.0278142 
50 	30    	0.0268228 	0.000358559	0.0261171  	0.0278142 
51 	31    	0.0271494 	0.000327718	0.0265334  	0.0281269 
52 	30    	0.0274245 	0.000388923	0.0265334  	0.0286573 
53 	37    	0.0277503 	0.000378475	0.0270879  	0.0286573 
54 	41    	0.0280576 	0.00028018 	0.0271601  	0.0286573 
55 	35    	0.0283316 	0.000312635	0.0278142  	0.0289318 
56 	35    	0.0286147 	0.000269726	0.0279813  	0.0293068 
57 	37    	0.0288471 	0.000285032	0.0281069  	0.029849  
58 	40    	0.0292272 	0.000478868	0.0286573  	0.0305356 
59 	33    	0.0296703 	0.000414581	0.0288023  	0.0305356 
60 	38    	0.0300504 	0.000328686	0.0293216  	0.0311513 
61 	39    	0.0302996 	0.000276037	0.0298247  	0.0311513 
62 	38    	0.0305791 	0.000336692	0.0299908  	0.0318646 
63 	33    	0.0308479 	0.000300877	0.0303456  	0.0318646 
64 	31    	0.0310925 	0.000285104	0.0303926  	0.0318646 
65 	33    	0.0313204 	0.000301186	0.0307711  	0.0318646 
66 	39    	0.0316073 	0.000312318	0.0306769  	0.0322683 
67 	33    	0.0317989 	0.000197473	0.0312224  	0.0322683 
68 	36    	0.0319533 	0.000163691	0.0316515  	0.0323165 
69 	31    	0.0320936 	0.000187927	0.0318646  	0.0323184 
70 	34    	0.0322521 	0.000114366	0.0318646  	0.0323184 
71 	37    	0.0324027 	0.000274793	0.0322683  	0.0334584 
72 	35    	0.0326211 	0.000461015	0.0323165  	0.0335228 
73 	41    	0.0328624 	0.000497103	0.0323165  	0.0340767 
74 	34    	0.0331879 	0.000412805	0.0323165  	0.0340767 
75 	39    	0.0336057 	0.000465965	0.0323184  	0.0350318 
76 	30    	0.03395   	0.000568103	0.0326025  	0.0350318 
77 	35    	0.0344967 	0.000599984	0.0334584  	0.0355569 
78 	37    	0.0349715 	0.000428934	0.0339109  	0.0358517 
79 	26    	0.0353223 	0.000331326	0.0344799  	0.0358517 
80 	33    	0.0355017 	0.000270394	0.0345739  	0.0358517 
81 	37    	0.035723  	0.000252178	0.0350318  	0.0370834 
82 	33    	0.0359075 	0.00029756 	0.0355569  	0.0369475 
83 	35    	0.0361356 	0.000481825	0.0357578  	0.0373902 
84 	32    	0.0364241 	0.000561091	0.0357578  	0.0373902 
85 	38    	0.036858  	0.000415824	0.0358517  	0.0373902 
86 	31    	0.0371386 	0.000264624	0.0358517  	0.0373902 
87 	35    	0.0374095 	0.00028908 	0.0369475  	0.0385494 
88 	34    	0.0376902 	0.000419015	0.0370197  	0.0385494 
89 	40    	0.0380588 	0.000456557	0.0373902  	0.0385494 
90 	29    	0.0384027 	0.000258998	0.0376284  	0.0385602 
91 	38    	0.038546  	2.14573e-05	0.038384   	0.0385602 
92 	31    	0.0385722 	9.45473e-05	0.0385494  	0.0389841 
93 	34    	0.0386222 	0.000158224	0.0385494  	0.0389841 
94 	36    	0.0387342 	0.000205143	0.0385494  	0.0389841 
95 	42    	0.0388953 	0.00020664 	0.0385494  	0.0400107 
96 	35    	0.0390402 	0.000239353	0.0386327  	0.0400107 
97 	39    	0.0390905 	0.000303722	0.0389841  	0.0400107 
98 	34    	0.039226  	0.000420496	0.0389841  	0.0400107 
99 	35    	0.0395293 	0.000515882	0.0389841  	0.0408463 
100	36    	0.0399545 	0.000368743	0.0389841  	0.0409917 
0.68915
0.0409917574264
