# INITIALIZATION
Counter({'TP': 1429, 'TN': 1265, 'FP': 115, 'FN': 48})
# Initial Accuracy: 0.942947147357
# Initial MCC: 0.886561257998
# Minimal variation in Mu: -0.0222142587192
# Min in Mu: [-0.016195]
# Min variation in initial S: 5.60932435275e-08
gen	nevals	avg     	std       	min     	max     
0  	100   	0.887315	0.00323923	0.879624	0.894578
1  	33    	0.889823	0.00196014	0.884649	0.893722
2  	33    	0.891284	0.00162942	0.887291	0.896105
3  	38    	0.892735	0.00137507	0.888961	0.896105
4  	38    	0.893734	0.00108176	0.891049	0.896105
5  	32    	0.894563	0.00102687	0.892707	0.896105
6  	36    	0.895399	0.00103815	0.893722	0.89859 
7  	37    	0.896348	0.000974909	0.894658	0.89859 
8  	31    	0.897017	0.000945252	0.895812	0.89859 
9  	30    	0.89775 	0.000824697	0.895982	0.89859 
10 	31    	0.8983  	0.000479723	0.897135	0.899278
11 	33    	0.898599	0.000262977	0.897849	0.899278
12 	36    	0.898735	0.000326858	0.89859 	0.899967
13 	39    	0.898905	0.000424   	0.897932	0.899967
14 	38    	0.899168	0.000408167	0.897875	0.899967
15 	40    	0.899498	0.000362901	0.899228	0.900655
16 	41    	0.899787	0.000441096	0.899278	0.900655
17 	33    	0.900054	0.000358318	0.899278	0.900655
18 	31    	0.900288	0.000340458	0.899918	0.900655
19 	34    	0.900535	0.000302762	0.899967	0.901299
20 	41    	0.90066 	0.00014679 	0.899967	0.901299
21 	36    	0.900707	0.000174541	0.900655	0.901299
22 	42    	0.900778	0.000252394	0.900655	0.901299
23 	31    	0.900971	0.000321619	0.900655	0.901299
24 	34    	0.901261	0.000153   	0.900655	0.901321
25 	30    	0.901302	7.61256e-06	0.901299	0.901321
26 	44    	0.901307	1.05923e-05	0.901299	0.901321
27 	38    	0.901315	9.62321e-06	0.901299	0.901321
28 	37    	0.90132 	3.07146e-06	0.901299	0.901321
29 	36    	0.901321	3.33067e-16	0.901321	0.901321
30 	36    	0.901321	3.33067e-16	0.901321	0.901321
31 	38    	0.901397	0.000364101	0.901321	0.903393
32 	36    	0.901501	0.000541165	0.901321	0.903393
33 	34    	0.901836	0.000797892	0.901321	0.903393
34 	39    	0.902315	0.000871856	0.901321	0.903393
35 	36    	0.903044	0.000631577	0.901321	0.903393
36 	37    	0.903367	0.000193786	0.902034	0.904105
37 	27    	0.903398	1.38246e-05	0.903393	0.903437
38 	30    	0.903405	1.96157e-05	0.903393	0.903437
39 	31    	0.903426	7.3575e-05 	0.903393	0.904127
40 	33    	0.903475	0.000164982	0.903393	0.904127
41 	35    	0.90352 	0.000224155	0.903437	0.904127
42 	35    	0.903644	0.0003161  	0.903437	0.904127
43 	33    	0.903851	0.000337924	0.903437	0.904127
44 	31    	0.904065	0.000197405	0.903437	0.904127
45 	36    	0.90412 	6.8633e-05 	0.903437	0.904127
46 	35    	0.904127	1.90915e-10	0.904127	0.904127
47 	37    	0.904127	1.3645e-10 	0.904127	0.904127
48 	30    	0.904127	5.3499e-11 	0.904127	0.904127
49 	36    	0.904127	1.11022e-16	0.904127	0.904127
50 	38    	0.904127	1.11022e-16	0.904127	0.904127
51 	37    	0.904127	1.11022e-16	0.904127	0.904127
52 	35    	0.904127	1.11022e-16	0.904127	0.904127
53 	29    	0.904127	1.11022e-16	0.904127	0.904127
54 	31    	0.904127	1.11022e-16	0.904127	0.904127
55 	35    	0.904127	1.11022e-16	0.904127	0.904127
56 	35    	0.904127	1.11022e-16	0.904127	0.904127
57 	36    	0.904127	1.11022e-16	0.904127	0.904127
58 	39    	0.904127	1.11022e-16	0.904127	0.904127
59 	31    	0.904127	1.11022e-16	0.904127	0.904127
60 	36    	0.904127	1.11022e-16	0.904127	0.904127
61 	33    	0.904127	1.11022e-16	0.904127	0.904127
62 	36    	0.904127	1.11022e-16	0.904127	0.904127
63 	36    	0.904127	1.11022e-16	0.904127	0.904127
64 	39    	0.904127	1.11022e-16	0.904127	0.904127
65 	38    	0.904127	1.11022e-16	0.904127	0.904127
66 	34    	0.904127	1.11022e-16	0.904127	0.904127
67 	38    	0.904127	1.11022e-16	0.904127	0.904127
68 	35    	0.904127	1.11022e-16	0.904127	0.904127
69 	35    	0.904127	1.11022e-16	0.904127	0.904127
70 	30    	0.904127	1.11022e-16	0.904127	0.904127
71 	38    	0.904127	1.11022e-16	0.904127	0.904127
72 	38    	0.904127	1.11022e-16	0.904127	0.904127
73 	40    	0.904127	1.11022e-16	0.904127	0.904127
74 	27    	0.904127	1.11022e-16	0.904127	0.904127
75 	37    	0.904127	1.11022e-16	0.904127	0.904127
76 	36    	0.904127	1.11022e-16	0.904127	0.904127
77 	33    	0.904127	1.11022e-16	0.904127	0.904127
78 	38    	0.904127	1.11022e-16	0.904127	0.904127
79 	30    	0.904127	1.11022e-16	0.904127	0.904127
80 	37    	0.904127	1.11022e-16	0.904127	0.904127
81 	34    	0.904127	1.11022e-16	0.904127	0.904127
82 	30    	0.904127	1.11022e-16	0.904127	0.904127
83 	39    	0.904127	1.11022e-16	0.904127	0.904127
84 	32    	0.904127	1.11022e-16	0.904127	0.904127
85 	35    	0.904127	1.11022e-16	0.904127	0.904127
86 	35    	0.904127	1.11022e-16	0.904127	0.904127
87 	38    	0.904127	1.11022e-16	0.904127	0.904127
88 	37    	0.904127	1.11022e-16	0.904127	0.904127
89 	39    	0.904127	1.11022e-16	0.904127	0.904127
90 	36    	0.904127	1.11022e-16	0.904127	0.904127
91 	38    	0.904127	1.11022e-16	0.904127	0.904127
92 	37    	0.904127	1.11022e-16	0.904127	0.904127
93 	35    	0.904127	1.11022e-16	0.904127	0.904127
94 	37    	0.904127	1.11022e-16	0.904127	0.904127
95 	32    	0.904127	1.11022e-16	0.904127	0.904127
96 	37    	0.904127	1.11022e-16	0.904127	0.904127
97 	36    	0.904127	1.11022e-16	0.904127	0.904127
98 	36    	0.904127	3.34313e-06	0.904127	0.904151
99 	37    	0.904128	4.68006e-06	0.904127	0.904151
100	42    	0.904129	6.83473e-06	0.904127	0.904151
101	38    	0.904133	1.06036e-05	0.904127	0.904151
102	31    	0.90414 	1.2276e-05 	0.904105	0.904151
103	38    	0.904134	0.00013956 	0.902748	0.904151
104	33    	0.904151	4.25385e-09	0.904151	0.904151
105	30    	0.904151	4.14377e-09	0.904151	0.904151
106	32    	0.904151	1.57755e-09	0.904151	0.904151
107	40    	0.904151	2.30759e-10	0.904151	0.904151
108	33    	0.904151	3.33067e-16	0.904151	0.904151
109	37    	0.904151	3.33067e-16	0.904151	0.904151
110	36    	0.904151	3.33067e-16	0.904151	0.904151
111	33    	0.904151	3.33067e-16	0.904151	0.904151
112	38    	0.904151	3.6001e-06 	0.904151	0.904176
113	35    	0.904153	7.35498e-06	0.904151	0.904176
114	34    	0.904155	9.17896e-06	0.904151	0.904176
115	29    	0.904161	1.25377e-05	0.904151	0.904176
116	33    	0.904171	1.06489e-05	0.904151	0.904176
117	34    	0.904176	4.38643e-06	0.904151	0.904176
118	43    	0.904176	2.55881e-06	0.904151	0.904176
119	38    	0.904218	0.000163509	0.904176	0.904865
120	37    	0.904252	0.000215423	0.904176	0.904865
121	37    	0.904314	0.000275398	0.904176	0.904865
122	40    	0.904493	0.000342884	0.904176	0.904865
123	37    	0.904748	0.000258829	0.904176	0.90492 
124	33    	0.904873	6.90227e-05	0.904865	0.905554
125	38    	0.904874	6.90857e-05	0.904865	0.905554
126	34    	0.90487 	1.37445e-05	0.904865	0.90492 
127	32    	0.904877	1.94848e-05	0.904865	0.90492 
128	39    	0.904895	6.97553e-05	0.904865	0.905554
129	39    	0.904918	9.22794e-05	0.904865	0.905554
130	36    	0.904955	0.000154837	0.904892	0.905579
131	35    	0.905024	0.00023903 	0.904892	0.905579
132	37    	0.905193	0.000321382	0.90492 	0.905579
133	34    	0.905372	0.000319139	0.90492 	0.906323
134	38    	0.905566	0.000283954	0.90492 	0.906323
135	31    	0.905769	0.000309931	0.905579	0.906323
136	29    	0.906002	0.000344789	0.905579	0.906323
137	30    	0.90627 	0.000149937	0.905607	0.906323
138	30    	0.906313	1.37994e-05	0.906295	0.906323
139	38    	0.906356	0.000150313	0.906295	0.907011
