# INITIALIZATION
Counter({'TP': 1429, 'TN': 1265, 'FP': 115, 'FN': 48})
# Initial Accuracy: 0.942947147357
# Initial MCC: 0.886561257998
# Minimal variation in Mu: -0.0222142587192
# Min in Mu: [-0.016195]
# Min variation in initial S: 5.60932435275e-08
gen	nevals	avg    	std       	min     	max     
0  	100   	0.88727	0.00337319	0.878143	0.893253
1  	34    	0.890673	0.00176074	0.883561	0.893722
2  	33    	0.892202	0.00104044	0.889268	0.894617
3  	33    	0.893273	0.000987108	0.891849	0.895381
4  	35    	0.89403 	0.00091858 	0.891981	0.895517
5  	39    	0.894805	0.000860611	0.892806	0.896703
6  	38    	0.895459	0.000839686	0.893296	0.898682
7  	37    	0.896336	0.0010502  	0.894471	0.899368
8  	36    	0.897349	0.00118116 	0.895299	0.900771
9  	36    	0.898152	0.00123132 	0.89656 	0.900771
10 	33    	0.899136	0.00113725 	0.897246	0.900771
11 	33    	0.899973	0.000884783	0.898032	0.900771
12 	35    	0.900696	0.000310085	0.899368	0.90084 
13 	34    	0.900771	0          	0.900771	0.900771
14 	34    	0.900772	5.69768e-06	0.900771	0.900805
15 	40    	0.900787	9.17432e-05	0.900771	0.901426
16 	29    	0.900841	0.000189329	0.900771	0.90149 
17 	33    	0.900914	0.000255216	0.900771	0.90149 
18 	35    	0.901109	0.000320318	0.900771	0.90149 
19 	35    	0.901326	0.000253665	0.900805	0.90149 
20 	39    	0.901449	9.6285e-05 	0.900805	0.90149 
21 	35    	0.901484	1.55237e-05	0.901426	0.90149 
22 	32    	0.901489	3.24984e-06	0.901457	0.90149 
23 	33    	0.90149 	1.98121e-09	0.90149 	0.90149 
24 	39    	0.90149 	3.49515e-09	0.90149 	0.90149 
25 	34    	0.90149 	4.52736e-09	0.90149 	0.90149 
26 	39    	0.90149 	4.8616e-09 	0.90149 	0.90149 
27 	30    	0.90149 	5.26513e-09	0.90149 	0.90149 
28 	32    	0.90149 	3.42816e-09	0.90149 	0.90149 
29 	40    	0.901476	0.000136266	0.90012 	0.90149 
30 	36    	0.90149 	1.93865e-11	0.90149 	0.90149 
31 	38    	0.90149 	3.32375e-11	0.90149 	0.90149 
32 	35    	0.90149 	3.8181e-11 	0.90149 	0.90149 
33 	34    	0.90149 	5.57602e-11	0.90149 	0.90149 
34 	34    	0.90149 	7.64366e-11	0.90149 	0.90149 
35 	37    	0.90149 	9.50341e-11	0.90149 	0.90149 
36 	37    	0.901503	9.14693e-05	0.90149 	0.902143
37 	35    	0.901516	0.000129623	0.90149 	0.902175
38 	30    	0.901542	0.000178357	0.90149 	0.902175
39 	35    	0.901602	0.000246866	0.90149 	0.902175
40 	33    	0.901719	0.000312529	0.90149 	0.902175
41 	33    	0.901864	0.00033905 	0.900805	0.902175
42 	36    	0.902038	0.000248719	0.90149 	0.902208
43 	34    	0.902156	1.75284e-05	0.902143	0.902208
44 	36    	0.902188	0.000125159	0.902143	0.902893
45 	33    	0.902212	0.000156629	0.902143	0.902893
46 	30    	0.902282	0.000246883	0.902175	0.902893
47 	33    	0.902428	0.000332928	0.902175	0.902893
48 	35    	0.902614	0.000341556	0.902175	0.902893
49 	34    	0.902775	0.000261029	0.902175	0.902893
50 	35    	0.902872	0.000120662	0.902175	0.902893
51 	37    	0.902893	1.96196e-08	0.902893	0.902893
52 	36    	0.902893	1.77701e-08	0.902893	0.902893
53 	41    	0.902893	1.39101e-08	0.902893	0.902893
54 	33    	0.902893	2.04008e-09	0.902893	0.902893
55 	40    	0.902893	2.22045e-16	0.902893	0.902893
56 	33    	0.902893	2.22045e-16	0.902893	0.902893
57 	34    	0.902893	2.22045e-16	0.902893	0.902893
58 	34    	0.902893	2.22045e-16	0.902893	0.902893
59 	33    	0.902893	2.22045e-16	0.902893	0.902893
60 	32    	0.902893	2.22045e-16	0.902893	0.902893
61 	36    	0.902893	2.22045e-16	0.902893	0.902893
62 	35    	0.902893	2.22045e-16	0.902893	0.902893
63 	37    	0.902893	2.22045e-16	0.902893	0.902893
64 	42    	0.902879	0.000139675	0.90149 	0.902893
65 	27    	0.902893	2.22045e-16	0.902893	0.902893
66 	38    	0.902893	2.22045e-16	0.902893	0.902893
67 	35    	0.902893	2.22045e-16	0.902893	0.902893
68 	34    	0.902893	2.22045e-16	0.902893	0.902893
69 	34    	0.902893	2.22045e-16	0.902893	0.902893
70 	33    	0.902893	2.22045e-16	0.902893	0.902893
71 	39    	0.902893	2.22045e-16	0.902893	0.902893
72 	43    	0.902893	2.22045e-16	0.902893	0.902893
73 	43    	0.902893	2.22045e-16	0.902893	0.902893
74 	35    	0.902893	2.22045e-16	0.902893	0.902893
75 	34    	0.902893	2.22045e-16	0.902893	0.902893
76 	37    	0.902887	6.81442e-05	0.902208	0.902893
77 	37    	0.902928	0.000149339	0.902893	0.903579
78 	36    	0.902996	0.000244671	0.902893	0.903579
79 	34    	0.903174	0.000337012	0.902893	0.903579
80 	33    	0.903359	0.000319636	0.902893	0.903579
81 	34    	0.903544	0.000149339	0.902893	0.903579
82 	37    	0.903579	2.27389e-09	0.903579	0.903579
83 	32    	0.903579	1.71413e-09	0.903579	0.903579
84 	36    	0.903579	1.01373e-09	0.903579	0.903579
85 	37    	0.903579	9.92059e-10	0.903579	0.903579
86 	37    	0.903579	8.52261e-10	0.903579	0.903579
87 	40    	0.903579	3.07964e-10	0.903579	0.903579
88 	30    	0.903579	1.781e-10  	0.903579	0.903579
89 	29    	0.903579	1.79634e-10	0.903579	0.903579
90 	36    	0.903579	9.82536e-11	0.903579	0.903579
91 	35    	0.903579	3.33067e-16	0.903579	0.903579
92 	35    	0.903579	3.33067e-16	0.903579	0.903579
93 	38    	0.903558	0.000207857	0.90149 	0.903579
94 	31    	0.903579	3.33067e-16	0.903579	0.903579
95 	36    	0.903579	3.33067e-16	0.903579	0.903579
96 	37    	0.903579	3.34464e-06	0.903579	0.903612
97 	35    	0.903594	9.60171e-05	0.903579	0.904264
98 	39    	0.903614	0.000149302	0.903579	0.904264
99 	37    	0.903656	0.000213957	0.903579	0.904264
100	35    	0.903747	0.000290739	0.903579	0.904264
101	33    	0.903861	0.000329806	0.903579	0.904264
102	37    	0.90404 	0.000312714	0.903579	0.904264
103	38    	0.904231	0.000145078	0.903547	0.904264
104	42    	0.904264	7.41188e-09	0.904264	0.904264
105	35    	0.904264	3.22381e-10	0.904264	0.904264
106	40    	0.904264	1.11022e-16	0.904264	0.904264
107	37    	0.904264	1.11022e-16	0.904264	0.904264
108	41    	0.904271	6.8298e-05 	0.904264	0.90495 
109	42    	0.90428 	9.60724e-05	0.904264	0.90495 
110	35    	0.904296	0.00013404 	0.904264	0.90495 
111	37    	0.904348	0.000212204	0.904264	0.90495 
112	33    	0.904442	0.000332992	0.902861	0.90495 
113	31    	0.904675	0.000323962	0.904264	0.90495 
114	33    	0.904901	0.000263281	0.904297	0.905668
115	33    	0.905009	0.000274632	0.904297	0.906354
116	34    	0.905086	0.000368479	0.90495 	0.906354
117	37    	0.905412	0.000554444	0.90495 	0.906354
118	31    	0.905744	0.000566835	0.90492 	0.906354
119	38    	0.906161	0.000338082	0.904982	0.906354
120	34    	0.906325	0.000138957	0.905579	0.906354
121	38    	0.906354	4.53699e-09	0.906354	0.906354
