# INITIALIZATION
Counter({'TP': 1429, 'TN': 1265, 'FP': 115, 'FN': 48})
# Initial Accuracy: 0.942947147357
# Initial MCC: 0.886561257998
# Minimal variation in Mu: -0.0222142587192
# Min in Mu: [-0.016195]
# Min variation in initial S: 5.60932435275e-08
gen	nevals	avg     	std       	min     	max    
0  	100   	0.887521	0.00301667	0.879478	0.89519
1  	30    	0.889816	0.00190501	0.884591	0.89519
2  	44    	0.89142 	0.00174909	0.888643	0.89519
3  	34    	0.89266 	0.00182456	0.890102	0.895339
4  	39    	0.893971	0.0014224 	0.890531	0.895339
5  	36    	0.895076	0.000789439	0.891302	0.897246
6  	33    	0.895723	0.000805984	0.894658	0.899401
7  	31    	0.896276	0.000890797	0.89519 	0.899401
8  	33    	0.896902	0.00081018 	0.89519 	0.899401
9  	29    	0.897536	0.00065448 	0.895909	0.899401
10 	30    	0.898036	0.000769331	0.896593	0.899401
11 	35    	0.898691	0.000642197	0.897246	0.899401
12 	33    	0.8992  	0.000412817	0.897875	0.900054
13 	33    	0.899406	0.000306348	0.89865 	0.902175
14 	33    	0.899592	0.000640774	0.899401	0.902175
15 	39    	0.899943	0.00099021 	0.899401	0.902175
16 	36    	0.900664	0.00111062 	0.899401	0.902175
17 	39    	0.901263	0.000885627	0.899401	0.902801
18 	33    	0.901879	0.000688351	0.899401	0.902861
19 	41    	0.902236	0.000251909	0.900771	0.902861
20 	39    	0.902353	0.000327708	0.901524	0.903517
21 	36    	0.902572	0.000338063	0.902143	0.903517
22 	31    	0.902821	0.000279478	0.902175	0.903547
23 	32    	0.903004	0.000351157	0.902801	0.904176
24 	35    	0.903174	0.000399054	0.90283 	0.904176
25 	39    	0.903487	0.000377465	0.902861	0.904176
26 	31    	0.90381 	0.000371543	0.902894	0.904892
27 	38    	0.904041	0.000342835	0.903517	0.904892
28 	38    	0.904221	0.000226749	0.903547	0.90492 
29 	41    	0.90429 	0.000262597	0.903547	0.90492 
30 	29    	0.904423	0.000323569	0.904176	0.90492 
31 	34    	0.904615	0.000334753	0.904177	0.90492 
32 	36    	0.904827	0.000201203	0.904204	0.90492 
33 	32    	0.904898	1.21585e-05	0.904892	0.90492 
34 	39    	0.904907	1.41653e-05	0.904892	0.90492 
35 	36    	0.904916	9.57708e-06	0.904892	0.90492 
36 	32    	0.90492 	7.86177e-09	0.90492 	0.90492 
37 	21    	0.90492 	1.7131e-09 	0.90492 	0.90492 
38 	34    	0.90492 	2.37079e-09	0.90492 	0.90492 
39 	36    	0.90492 	2.62805e-09	0.90492 	0.90492 
40 	40    	0.90492 	1.60142e-09	0.90492 	0.90492 
41 	34    	0.904921	4.22564e-06	0.90492 	0.90495 
42 	34    	0.904922	7.16809e-06	0.90492 	0.90495 
43 	33    	0.904926	1.20732e-05	0.90492 	0.90495 
44 	33    	0.904937	1.50159e-05	0.90492 	0.90495 
45 	43    	0.904946	1.01508e-05	0.90492 	0.90495 
46 	34    	0.90495 	7.56873e-09	0.90495 	0.90495 
47 	37    	0.90495 	1.22125e-08	0.90495 	0.90495 
48 	37    	0.90495 	1.65339e-08	0.90495 	0.90495 
49 	37    	0.904937	0.000306342	0.902208	0.906323
50 	34    	0.904978	0.000192242	0.90495 	0.906323
51 	34    	0.905046	0.000350355	0.90495 	0.906324
52 	36    	0.905143	0.000476466	0.90495 	0.906324
53 	38    	0.905335	0.000601055	0.90495 	0.906324
54 	34    	0.905671	0.000654393	0.90492 	0.906324
55 	43    	0.906063	0.000483364	0.90495 	0.906324
56 	33    	0.906275	0.00037496 	0.9028  	0.907011
57 	38    	0.906344	0.00011722 	0.906323	0.907011
58 	36    	0.906365	0.00016319 	0.906324	0.907011
59 	33    	0.90642 	0.000445092	0.902893	0.907011
60 	30    	0.906653	0.000343301	0.906324	0.907011
