# INITIALIZATION
Counter({'TP': 1429, 'TN': 1265, 'FP': 115, 'FN': 48})
# Initial Accuracy: 0.942947147357
# Initial MCC: 0.886561257998
# Minimal variation in Mu: -0.0222142587192
# Min in Mu: [-0.016195]
# Min variation in initial S: 5.60932435275e-08
gen	nevals	avg     	std       	min    	max     
0  	100   	0.887039	0.00278136	0.87955	0.892615
1  	36    	0.889497	0.00157925	0.885265	0.893786
2  	40    	0.890713	0.00129759	0.888446	0.893786
3  	33    	0.891647	0.00124831	0.889219	0.896593
4  	40    	0.892967	0.00125296	0.889996	0.896593
5  	37    	0.893939	0.000977868	0.891563	0.896593
6  	36    	0.894492	0.000820587	0.892707	0.896593
7  	32    	0.895047	0.000739279	0.892807	0.896593
8  	37    	0.895732	0.000675296	0.893976	0.897348
9  	32    	0.896385	0.000762356	0.893693	0.898473
10 	28    	0.897004	0.000660305	0.895784	0.898473
11 	32    	0.89767 	0.000665444	0.896529	0.899205
12 	31    	0.898264	0.000587606	0.896593	0.899896
13 	37    	0.898645	0.000499543	0.897781	0.899896
14 	38    	0.899097	0.000585413	0.898473	0.899896
15 	33    	0.899536	0.000452005	0.898473	0.899896
16 	37    	0.899777	0.000279961	0.898493	0.899896
17 	35    	0.899882	0.000139601	0.898493	0.899896
18 	36    	0.899896	1.55773e-08	0.899896	0.899896
19 	32    	0.899896	6.34825e-09	0.899896	0.899896
20 	38    	0.899896	2.22045e-16	0.899896	0.899896
21 	36    	0.899896	2.22045e-16	0.899896	0.899896
22 	33    	0.899896	2.1652e-06 	0.899896	0.899918
23 	33    	0.899897	3.71216e-06	0.899896	0.899918
24 	32    	0.899898	6.52831e-06	0.899896	0.899918
25 	30    	0.8999  	8.53688e-06	0.899896	0.899918
26 	32    	0.8999  	7.27408e-05	0.899184	0.899918
27 	39    	0.899935	0.000118603	0.899896	0.900608
28 	37    	0.900014	0.00025956 	0.899205	0.900608
29 	32    	0.900201	0.000339562	0.899918	0.900608
30 	34    	0.900456	0.000285989	0.899918	0.900608
31 	34    	0.900574	0.000150466	0.899918	0.900608
32 	34    	0.900608	2.07639e-09	0.900608	0.900608
33 	41    	0.900608	2.94044e-09	0.900608	0.900608
34 	38    	0.900608	3.79067e-09	0.900608	0.900608
35 	39    	0.900608	2.99605e-09	0.900608	0.900608
36 	35    	0.900608	7.6153e-10 	0.900608	0.900608
37 	35    	0.900608	2.22045e-16	0.900608	0.900608
38 	38    	0.900608	2.22045e-16	0.900608	0.900608
39 	36    	0.900608	2.22045e-16	0.900608	0.900608
40 	33    	0.900608	2.22045e-16	0.900608	0.900608
41 	33    	0.900608	2.22045e-16	0.900608	0.900608
42 	29    	0.900608	2.22045e-16	0.900608	0.900608
43 	39    	0.900608	2.22045e-16	0.900608	0.900608
44 	38    	0.900608	2.22045e-16	0.900608	0.900608
45 	36    	0.900608	2.22045e-16	0.900608	0.900608
46 	38    	0.900608	2.22045e-16	0.900608	0.900608
47 	37    	0.900608	2.22045e-16	0.900608	0.900608
48 	34    	0.900608	2.22045e-16	0.900608	0.900608
49 	37    	0.900608	2.22045e-16	0.900608	0.900608
50 	31    	0.900608	2.22045e-16	0.900608	0.900608
51 	39    	0.900608	2.22045e-16	0.900608	0.900608
52 	35    	0.900608	2.22045e-16	0.900608	0.900608
53 	33    	0.900608	2.22045e-16	0.900608	0.900608
54 	33    	0.900608	2.22045e-16	0.900608	0.900608
55 	38    	0.900608	2.22045e-16	0.900608	0.900608
56 	33    	0.900628	0.000114375	0.900608	0.901279
57 	37    	0.900695	0.000224075	0.900608	0.901279
58 	45    	0.900856	0.000352493	0.899896	0.901971
59 	36    	0.901017	0.0003685  	0.899896	0.901971
60 	28    	0.901308	0.00030423 	0.900608	0.901971
